University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Indiana University Purdue University Indianapolis (IUPUI),Interfaith Coalition for Palestine IUPUI,Inactive,Other,https://www.facebook.com/InterfaithCoalitionforPalestine/,,
Indiana University Purdue University Indianapolis (IUPUI),Indiana Palestine Solidarity,Active,Other,https://www.facebook.com/IndianaPalestineSolidarity/,,
Indiana University Purdue University Indianapolis (IUPUI),IUPUI Faculty and Staff for Justice in Palestine,Inactive,Faculty,https://iupuifacultystaff4palestine.wordpress.com/,,
Indiana University of Pennsylvania,Penn Chavurah,Active,Other,https://www.instagram.com/pennchavurah/,https://www.instagram.com/p/CxTPRvEOisp/,
Irvine Valley College,SJP,Active,SJP,https://www.instagram.com/sjpativc/,,
Ithaca College,SJP,Inactive,SJP,https://www.facebook.com/ICSJP/,,
John Carroll University,SJP,Active,SJP,https://www.instagram.com/sjpjcu/,,
John Carroll University,Black Students in Action,Active,Other,https://www.instagram.com/jcubsa/,,
Johns Hopkins University,SJP,Active,SJP,https://www.facebook.com/hopkinssjp/,https://www.instagram.com/sjphopkins/,
Johns Hopkins University,Students Against Private Police,Inactive,Other,https://www.facebook.com/NOPRIVATEPOLICEJHU/,,
Johns Hopkins University,Hopkins Coalition Against ICE,Inactive,Other,https://www.facebook.com/ICEoutJHU/,,
Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health SJP,Active,SJP,https://www.instagram.com/bsph.sjp/,,
Kalamazoo College,SJP,Active,SJP,https://www.instagram.com/sjpkzoo/,,
Kennesaw State University,Students for Justice in Palestine,Inactive,SJP,https://www.instagram.com/kennesawsjp/,,
Kent State University,SJP,Active,SJP,https://www.facebook.com/SJPKSU/,https://www.instagram.com/ksusjp/,
Kent State University,Kent State SALSA,Inactive,Other,https://www.facebook.com/pg/KentStateSALSA/,,
Kent State University,Jewish Voice for Peace,Inactive,JVP,https://www.instagram.com/jvpkent/,,
Kenyon College,SJP,Active,SJP,https://www.instagram.com/kenyonsjp/,,
Kenyon College,JVP,Inactive,JVP,https://kenyoncollegian.com/news/2018/04/jewish-voices-for-peace-hosts-first-meeting-to-create-dialouge/,,
Kenyon College,Kenyon Solidarity Boycott,Inactive,Divest,https://www.facebook.com/solidarityboycott/,,
Lafayette College,SJP,Active,SJP,https://www.instagram.com/laf_sjp/,https://www.instagram.com/lv_sjp/,
Lafayette College,Pards for Palestine,Active,SJP,https://lafayettestudentnews.com/153786/news/pro-palestine-protest-promotes-peace-generates-backlash/,,
Lawrence University,SJP,Inactive,SJP,https://www.facebook.com/SJPLU/,,
Le Moyne College,Peace Action Le Moyne,Active,SJP,https://www.instagram.com/peaceaction_lemoyne/,,
Lehigh University,Lehigh4Palestine,Active,SJP,https://www.instagram.com/lehigh4palestine/,,
Lehigh University,Student Political Action Committee (SPAC),Active,Other,https://www.instagram.com/lehighspac/,,
Lewis University,SJP,Inactive,SJP,https://www.instagram.com/sjplewisuniversity/,https://www.facebook.com/SJPLEWISUNI,
Los Angeles Valley College,SJP,Inactive,SJP,https://twitter.com/sjplavc,,
Louisiana State University,SJP at LSU,Active,SJP,https://www.instagram.com/sjpatlsu/,https://www.facebook.com/SJPatLSU,
Louisiana State University,LSU Black Student Union,Active,Other,https://www.instagram.com/bsuatlsu/,https://www.instagram.com/p/CO8d7C2n3V8/,
Louisiana State University,Cooperation Rouge,Inactive,Other,https://www.instagram.com/cooperationrouge/,https://www.instagram.com/p/COye16hhTCW/,
Loyola Marymount University,Faculty for Justice in Palestine @ LMU,Active,Faculty,https://www.instagram.com/lmu.fjp/,,
Loyola Marymount University,SJP Loyola Marymount,Active,SJP,https://www.instagram.com/sjplmu/,,
Loyola University Chicago,SJP,Active,SJP,https://www.instagram.com/sjpluc/,https://www.facebook.com/sjp.loyola/,
Loyola University Chicago,Loyola Divest,Inactive,Divest,https://www.facebook.com/LoyolaDivest/,,
Loyola University Chicago,Loyola Chicago Dissenters,Active,Other,https://www.instagram.com/lucdissenters/,,
Loyola University New Orleans,Students for a Democratic Society,Active,Other,https://www.instagram.com/loynosds/,,
Macalester College,Students United for Palestinian Equal Rights,Inactive,SJP,https://www.facebook.com/macforpalestine/,,
Macalester College,JVP,Inactive,JVP,https://www.instagram.com/jvpmacalester/,,
Macalester College,Mac If Not Now,Active,Other,https://www.instagram.com/macifnotnow/,,
Macalester College,Macalester Adelante,Active,Other,https://www.instagram.com/macalesteradelante/,,
Macalester College,YDSA - Young Democratic Socialists of America,Active,Other,https://www.instagram.com/macalester_ydsa/,,
Marquette University,MU Divest,Inactive,Divest,https://www.facebook.com/MUDivest/,,
Marquette University,SJP,Active,SJP,https://www.instagram.com/sjpmarquette/,,
Massachusetts Institute of Technology,Palestine @ MIT,Active,SJP,https://www.facebook.com/pg/palestineatmit/posts/,https://www.instagram.com/palestineatmit/,
Massachusetts Institute of Technology,MIT Arab Students' Organization,Active,Other,https://www.facebook.com/ASOMIT,https://www.instagram.com/aso.mit/,
Massachusetts Institute of Technology,MIT Coalition Against Apartheid,Active,Other,https://www.instagram.com/mit_caa/,,
Metropolitan Community College Longview,SJP,Inactive,SJP,https://www.facebook.com/Mcc-Lv-Students-for-Justice-in-Palestine-304960129516525/,,
Miami University Ohio,SJP,Active,SJP,https://www.instagram.com/miamiuniversity.sjp/,,
Michigan State University,SJP,Inactive,SJP,https://twitter.com/sjp_msu,,
Michigan State University,Students United for Palestinian Rights - SUPR,Active,Other,https://www.facebook.com/SUPRMSU/,https://www.instagram.com/suprmichiganstate/,
Michigan State University,JVP,Active,JVP,https://www.instagram.com/jvp_msu/,,
Michigan State University,Alumni of UMich 4 Palestine,Active,Other,https://www.instagram.com/alumniofumich4palestine/,,
Michigan State University,The Middle Eastern Law Students Association (MELSA),Active,Other,https://www.instagram.com/p/CyTn1mHAFfC/,,
Michigan State University,Hurriya Coalition,Active,Other,https://www.instagram.com/hurriyamsu/,,
Middlebury College,Students for Justice in Palestine,Active,SJP,https://www.instagram.com/sjp_middlebury/,,
Montclair State University,SJP,Active,SJP,https://www.instagram.com/montclairsjp/,,
Moorpark College,SJP,Active,SJP,https://www.instagram.com/moorparkc.sjp/,,
Moraine Valley Community College,SJP,Active,SJP,https://www.instagram.com/sjp_mvcc/,,
Mt. Holyoke College,SJP,Inactive,SJP,https://www.facebook.com/groups/119065431586556/,,
Mt. San Antonio College,Mt. SAC MSA,Active,Other,https://www.instagram.com/mtsac_msa/,,
Mt. San Antonio College,Mt. SAC Black Student Union,Active,Other,https://www.instagram.com/mtsacbsu/,,
Mt. San Antonio College,Mt. SAC Students for Socialism,Active,Other,https://www.instagram.com/sfsmtsac/,,
New Jersey Institute of Technology,Divest NJIT,Active,Divest,https://www.instagram.com/divestnjit/,,
New York University,SJP,Active,SJP,https://www.facebook.com/NYU.SJP/,https://www.instagram.com/nyu_sjp/,
New York University,NYU Law Students for Justice in Palestine,Active,SJP,https://www.instagram.com/nyulsjp/,https://www.facebook.com/NYULawSJP/,
New York University,NYC SJP,Inactive,SJP,https://nycsjp.wordpress.com/,,
New York University,NYU JVP,Active,"JVP, Student",https://www.facebook.com/nyujvp/,,
New York University,NYU Jews For Justice,Inactive,"JVP, Student",https://www.instagram.com/nyujews4justice/,https://mobile.twitter.com/nyujews4justice,
New York University, Jewish Law Students for a Free Palestine,Active,"JVP, Student",https://drive.google.com/file/d/16lRA7y3oMt7a-HkhOw-IBwaZpEVDeELo/view,,
New York University,Shut it Down NYU,Active,"Divest, Student",https://www.instagram.com/shutitdownnyu/,,
New York University,NYU Faculty for Justice in Palestine,Active,Faculty,https://www.instagram.com/nyu_fjp/,,
New York University,NYU Abolition Lab,Active,"Other, Student",https://www.instagram.com/nyuabolitionlab/,,
New York University,NYU GSOC UAW (Grad Student Workers Union),Active,Other,https://www.instagram.com/nyu_gsoc_uaw/,,
New York University,NYU Dissenters,Active,"Other, Student",https://www.instagram.com/nyudissenters/,,
New York University,Ne’ametz NYU,Active,JVP,https://www.instagram.com/ne.ametznyu/,,
New York University,NYU Alumni For Palestine - NYU Divest,Active,Other,https://www.instagram.com/nyualumniforpalestine/,,
North Carolina State University,SJP,Inactive,SJP,https://www.instagram.com/ncsusjp/,,
Northeastern Illinois University,SJP,Inactive,SJP,https://www.facebook.com/sjp.neiu/,,
Northeastern University,SJP,Active,SJP,https://www.instagram.com/nusjp/,https://www.facebook.com/nusjp/,
Northeastern University,SJP Group,Active,SJP,https://www.facebook.com/groups/northeasternsjp/about/,,
Northeastern University,Northeastern University School of Law Students for Justice in Palestine,Active,SJP,https://www.instagram.com/nuslsjp/,,
Northeastern University,NEU - YDSA,Active,Other,https://www.instagram.com/neu_ydsa/,,
Northeastern University,Huskies for a Free Palestine,Active,SJP,https://www.instagram.com/hfp.neu/,,
Northern Arizona University,SJP,Active,SJP,https://www.instagram.com/nau_sjp/,,
Northwestern University,SJP,Active,SJP,https://www.facebook.com/northwesternsjp/,https://www.instagram.com/nu.sjp/,
Northwestern University,NU Divest,Inactive,Divest,https://www.instagram.com/explore/tags/nudivest/,,
Northwestern University,NU Dissenters,Inactive,Other,https://www.instagram.com/wearenudissenters/,,
Northwestern University,NU College Feminists,Active,Other,https://www.instagram.com/nufeminists/,,
Northwestern University,Northwestern Community for Human Rights,Active,Other,https://www.instagram.com/nuhumanrights/,,
Oakland University,SJP,Active,SJP,https://www.instagram.com/ou_sjp/,,
Oberlin College,Oberlin Divest,Inactive,Divest,https://www.facebook.com/OberlinDivest,,
Oberlin College,Students for a Free Palestine,Active,SJP,https://www.instagram.com/oberlinsfp/,https://www.facebook.com/oberlinsfp/,
Oberlin College,JVP,Inactive,JVP,https://www.facebook.com/OberlinJVP/,,
Oberlin College,Oberlin Jews for a Free Palestine,Active,JVP,https://www.instagram.com/oberlinjews4palestine/,,
Occidental College,SJP,Active,SJP,https://www.instagram.com/oxysjp/,https://www.facebook.com/sjpoxy/,
Oglethorpe University,SJP,Inactive,SJP,https://www.facebook.com/sjpou/,,
Ohio State University,SJP,Active,SJP,https://www.instagram.com/sjposu/,,
Ohio State University,Ohio State Divest,Inactive,Divest,https://www.facebook.com/ohiostatedivest/,,
Ohio State University,JVP,Inactive,JVP,https://www.facebook.com/JVPOSU/,,
Ohio State University,OSU Coalition for BDS,Inactive,Divest,https://www.facebook.com/OSU4BDS/,,
Ohio State University,Palestinian Women's Association at The Ohio State University,Active,Other,https://www.instagram.com/pwaosu/,,
Ohio State University,"JVP Central Ohio (off-campus, holds events on campus)",Active,JVP,https://www.facebook.com/JVPCentralOhio/,,
Ohio State University,Central Ohio Revolutionary Socialists (CORS) [Registered Student Org],Active,Other,https://www.instagram.com/corsrev/,https://www.facebook.com/CentralOhioRS/,https://twitter.com/CORSrev
Ohio University,SJP,Inactive,SJP,https://www.facebook.com/groups/101713836563332/,,
Old Dominion University,SJP,Active,SJP,https://www.instagram.com/sjpatodu/,,
Oregon State University,Students United for Palestinian Equal Rights - OSU,Inactive,SJP,https://www.facebook.com/super.osu/,,
Pace University,SJP,Inactive,SJP,https://www.facebook.com/profile.php?id=100006674448447,,
Pace University - Pleasantville,SJP,Inactive,SJP,https://www.facebook.com/Students-for-Justice-in-Palestine-at-Pace-University-Pleasantville-1036914299656307/,,
Pennsylvania State University,SJP,Active,SJP,https://www.instagram.com/pennstatesjp/,https://www.facebook.com/PennStateSJP/,
Pennsylvania State University,Student Committee for Defense and Solidarity,Active,Other,https://www.instagram.com/scds_sc/,,
Portland State University,Students United for Palestinian Equal Rights (SUPER),Active,SJP,https://www.facebook.com/PSUSUPER/,,
Portland State University,JVP,Inactive,JVP,https://www.facebook.com/JVPPSU/,https://www.instagram.com/jvppsu/,
Princeton University,Princeton Committee on Palestine,Active,SJP,https://www.instagram.com/princeton4palestine/,https://www.facebook.com/PrincetonCommitteeOnPalestine/,
Princeton University,Princeton Divests,Inactive,Divest,https://www.facebook.com/PrincetonDivests/,,
Princeton University,Princeton for Palestine,Active,SJP,https://www.facebook.com/PrincetonforPalestine/,,
Princeton University,Princeton YDSA,Active,Other,https://www.instagram.com/ydsa_princeton/,,
Princeton University,Divest Princeton (Fossil Fuels),Active,Divest,https://www.instagram.com/p/Cywq5KNLnyK/,,
Princeton University,Princeton Alumni for Palestine,Active,Other,https://www.instagram.com/princetonalum4palestine/,,
Purdue University,SJP,Active,SJP,https://www.facebook.com/purduesjp/,https://www.instagram.com/sjppurdue/,
Reed College,SJP,Active,SJP,https://www.instagram.com/reed.sjp/,,
Rhode Island College,SJP,Inactive,SJP,http://www2.ric.edu/Pages/PageNotFoundError.aspx?requestUrl=http://www2.ric.edu/studAct/stuOrgSpecific.php,,
Rhode Island School of Design,RISD Students for Justice in Palestine,Active,SJP,https://www.facebook.com/risdsjp/,https://www.instagram.com/risdsjp/,
Rhode Island School of Design,RISD SASA,Active,Other,https://www.instagram.com/risdxsasa/,,
Rice University,Rice Left,Inactive,Other,https://www.instagram.com/riceleft/,https://www.facebook.com/riceleft/,
Rice University,SJP,Active,SJP,https://www.instagram.com/rice.sjp/,,
Rice University,RICE Pride,Active,Other,https://www.instagram.com/rice_pride/,,
Rutgers University - New Brunswick,SJP,Active,SJP,https://www.instagram.com/sjprutgersnb/,,
Rutgers University - New Brunswick,The Endowment Justice Collective,Active,Divest,https://www.instagram.com/rutgersejc/,https://www.facebook.com/RutgersEJC/,
Rutgers University - New Brunswick,All Marxist-Leninist Union,Active,Other,https://www.instagram.com/scarletrevs/,,
Rutgers University - New Brunswick,Rutgers for Palestine (Collective of Union Members across Rutgers U ),Active,Other,https://www.instagram.com/ru4palestine/,,
Rutgers University - New Brunswick,Robert Wood Johnson Medical School 4 Palestine (RWJMS4Palestine0,Active,SJP,https://www.instagram.com/rwjms4palestine/,,
Rutgers University - New Brunswick,Rutgers Alumni for Justice in Palestine (Not a Student Group),Active,Other,https://www.instagram.com/rutgersajp/,,
Rutgers University - New Brunswick,Rutgers Faculty for Justice in Palestine (FJP),Active,Faculty,https://www.instagram.com/rutgersfjp/,,
Rutgers University - New Brunswick,Rutgers AAUP Chapter Councils,Active,Other,https://www.instagram.com/rutgersaaup/,,
Rutgers University - Newark,SJP,Active,SJP,https://www.instagram.com/rsjpnewark/,https://www.facebook.com/rutgers.sjp,
SUNY Binghamton,SJP,Active,SJP,https://www.instagram.com/sjpbinghamton/,https://www.facebook.com/sjpbinghamton/,
SUNY Buffalo,SJP,Inactive,SJP,https://www.instagram.com/sjp_ub/,,
SUNY College of Environmental Science and Forestry,The Baobab Society at ESF,Active,Other,https://www.instagram.com/thebaobabsociety/,,
SUNY College of Environmental Science and Forestry,Latin American Student Organization at ESF (LASO),Active,Other,https://www.instagram.com/laso.esf/,,
SUNY Fashion Institute of Technology,SJP,Active,SJP,https://www.instagram.com/fit.sjp/,,
SUNY New Paltz,SJP,Inactive,SJP,https://www.instagram.com/sjp_newpaltz/?hl=en,,
SUNY Stony Brook,SJP,Inactive,SJP,https://www.facebook.com/SBUSJP/,,
SUNY at Albany,U Albany for BDS,Inactive,Divest,https://www.facebook.com/UalbanyDivests/,,
SUNY at Albany,SJP,Inactive,SJP,https://www.instagram.com/ua.sjp/,,
San Diego State University,SJP,Active,SJP,https://www.instagram.com/sdsusjp/,https://www.facebook.com/sdsusjp/,
San Diego State University,SDSU Divest,Inactive,Divest,https://www.facebook.com/sdsudivest/,,
San Francisco State University,General Union of Palestinian Students (GUPS),Active,SJP,https://mobile.twitter.com/gups_sfsu,https://www.facebook.com/GeneralUnionofPalestineStudents/,
San Jose State University,SJP,Active,SJP,https://www.facebook.com/sjsusjp,https://www.instagram.com/sjsusjp/,
San Jose State University,Ahlul-Bayt Student Association SJSU,Active,Other,https://www.instagram.com/absa_sjsu/,,
Santa Clara University,SJP,Inactive,SJP,https://www.instagram.com/scusjp/,,
Santa Monica College,SJP,Inactive,SJP,https://www.facebook.com/SJPatSMC,,
Santa Monica College,Students for Boycott Divestment & Sanctions of israel [sic],Active,Divest,https://www.facebook.com/divestSMC,,
Sarah Lawrence College,SJP,Active,SJP,https://www.instagram.com/slc.sjp/,,
Sarah Lawrence College,JVP,Active,JVP,https://www.instagram.com/jvpslc/,,
Sarah Lawrence College,Sarah Lawrence Faculty for Justice in Palestine,Active,Faculty,https://www.instagram.com/sl_fjp/,,
School of the Art Institute of Chicago,SJP,Active,SJP,https://www.facebook.com/groups/1540491872909969/about/,,
School of the Art Institute of Chicago,SAIC Students for Palestinian Liberation,Active,SJP,https://www.instagram.com/saic_spl/,,
Seattle University,SJP,Active,SJP,https://www.instagram.com/seattleusjp/,https://www.facebook.com/seattleusjp,
Seton Hall University,SJP,Inactive,SJP,https://www.instagram.com/shu_sjp/,,
Shenandoah University,SJP,Active,SJP,https://www.instagram.com/shenusjp/,,
Simmons University,SJP,Inactive,SJP,https://www.facebook.com/simmonscollegesjp/,,
Skidmore College,Skidmore SJP,Inactive,SJP,https://www.instagram.com/skidsjp/,,
Smith College,SJP,Inactive,SJP,https://www.instagram.com/smith_sjp/,,
Southern Illinois University Edwardsville,SJP,Inactive,SJP,https://www.siue.edu/news/2015/10/StudentsforPalestine.shtml,,
Southern Methodist University,SJP,Inactive,SJP,https://www.instagram.com/smu.sjp/,,
Southern Methodist University,Palestine Solidarity Committee ,Active,Other,https://www.instagram.com/psc.smu/,,
Southern Methodist University,MSA,Active,Other,https://www.instagram.com/smumsa/,,
Spelman College,SJP,Active,SJP,https://www.instagram.com/spelmansjp/,,
St. Cloud State University,SJP,Active,SJP,https://www.instagram.com/stcstudentsforpalestine/,,
St. John's University,SJP,Active,SJP,https://www.instagram.com/stjohnssjp/,https://www.instagram.com/stjohnssjppali/,
St. Joseph's College,SJP,Inactive,SJP,https://www.facebook.com/SJPatSJC/,,
St. Olaf College,Oles for Justice in Palestine,Inactive,SJP,https://www.facebook.com/Oles4Justice/,,
St. Xavier University,SJP,Active,SJP,https://www.instagram.com/sjpsxu_/,,
Stanford University,SJP,Active,SJP,https://www.instagram.com/stanfordsjp/,,
Stanford University,JVP,Inactive,JVP,https://www.facebook.com/JVPStanford/,,
Stanford University,Stanford Faculty for Justice in Palestine,Active,Faculty,https://www.instagram.com/stanfordfjp/,,
Stanford University,Stanford Medical Students for Palestine,Active,Other,https://www.instagram.com/stanmed4pal/,,
Stanford University,Stanford Sit-in to Stop Genocide!,Active,Other,https://www.instagram.com/sit_in_to_stop_genocide/,,
Suffolk University,SJP,Inactive,SJP,https://www.facebook.com/SJPSuffolk/,,
Suffolk University,SJP,Active,SJP,https://www.instagram.com/suffolk_sjp/,,
Swarthmore College,SJP,Active,SJP,https://www.instagram.com/swarthmoresjp/,https://twitter.com/SwarthmoreSJP,
Swarthmore College,SPJP,Inactive,SJP,https://www.facebook.com/SwarthmoreSPJP/,https://www.facebook.com/SwarthmoreSJP,
Swarthmore College,JVP,Active,JVP,https://www.facebook.com/swatjvp/,https://www.instagram.com/swarthmorejvp/,
Swarthmore College,Swarthmore Palestine Coalition,Active,Other,https://www.instagram.com/swarthmorespc/,,
Syracuse University,Palestine Solidarity Collective at SU,Active,Other,https://www.facebook.com/PSCatSU/,https://www.instagram.com/psc_su/,
Syracuse University,Black at Syracuse University,Active,Other,https://www.instagram.com/blackatcuse/,,
Syracuse University,BIPOC in Syracuse University,Inactive,Other,https://www.instagram.com/bipoc.syracuse/,,
Syracuse University,Faculty for Justice in Palestine (FJP),Active,Faculty,https://www.instagram.com/facultyforpalestinesu/,,
Temple University,SJP,Active,SJP,https://www.instagram.com/sjptemple/?hl=en,https://www.facebook.com/temple.sjp.3/,https://twitter.com/templesjp
Temple University,SJP Ona Move,Inactive,SJP,https://www.instagram.com/explore/tags/sjponamove/,,
Texas A & M University,Aggies for Palestine,Inactive,SJP,https://www.facebook.com/Aggies4Palestine/,,
Texas A & M University,Palestine Solidarity Committee Texas A&M,Active,Other,https://www.instagram.com/psc.tamu/,https://www.facebook.com/PSC.TAMU,
Texas Christian University,SJP,Inactive,SJP,none,,
The New School,SJP,Active,SJP,https://www.facebook.com/SJPNewSchool/,https://www.instagram.com/tns.sjp/,
The New School,Faculty for Justice in Palestine (FJP),Active,Faculty,https://www.instagram.com/tns_fjp/,,
Towson University,Colonized Peoples Revolution,Active,Other,https://www.instagram.com/towsoncpr/,,
Trinity College,SJP,Inactive,SJP,https://www.facebook.com/profile.php?id=100011420584273,,
Trinity College,Trinity Students & Faculty for Justice in Palestine,Active,"Faculty, SJP",https://www.instagram.com/sfjp_trin/,,
Tufts University,SJP,Active,SJP,https://www.facebook.com/TuftsSJP/,https://www.instagram.com/sjptufts/,https://twitter.com/SJPtufts
Tufts University,JVP,Inactive,JVP,https://www.facebook.com/Tufts-Jewish-Voice-for-Peace-510525799158271/,,
Tufts University,Tufts United for Immigrant Justice,Active,Other,https://www.facebook.com/tuftsuij/,,
Tufts University,J Street U,Active,Other,https://www.instagram.com/jstreettufts/,,
Tufts University,Tufts Revolutionary Marxist Students,Active,Other,https://www.instagram.com/p/Clegfh5uZfk/,,
Tufts University,Coalition for Liberation at Tufts,Active,Other,https://www.instagram.com/cpltufts/,,
Tulane University,SJP,Active,SJP,https://www.instagram.com/tulane4palestine/,,
University of Akron,SJP,Active,SJP,https://www.facebook.com/sjpakron/,https://www.instagram.com/sjpakron/,
University of Akron,UCW Arizona,Active,Other,https://www.instagram.com/ucwarizona/,,
"University of Alabama, Birmingham",SJP,Inactive,SJP,https://www.facebook.com/SJPUAB/,,
University of Arizona,SJP,Active,SJP,https://www.instagram.com/sjpuarizona/,,
University of Arizona,JVP,Inactive,JVP,https://www.facebook.com/groups/135237253183943/about/,,
University of Arizona,National Lawyers Guild University of Arizona,Active,Other,https://www.instagram.com/nlg_ua/,,
University of California Berkeley,SJP,Inactive,SJP,https://www.facebook.com/calsjp,,
University of California Berkeley,Law SJP,Active,SJP,https://www.instagram.com/berkeleylawforpalestine/,https://www.instagram.com/berkeleylawforpalestine/,https://www.facebook.com/BerkeleyLSJP/
University of California Berkeley,Bears for Palestine,Active,SJP,https://www.facebook.com/BearsforPalestine/,https://www.instagram.com/bearsforpalestine/,
University of California Berkeley,JVP,Active,JVP,https://www.facebook.com/jvpucberkeley/,https://www.instagram.com/jvpatucberkeley/,
University of California Berkeley,Student Environmental Resource Center,Active,Other,https://www.instagram.com/sercberkeley/,,
University of California Berkeley,Berkeley Law Jews for Palestine,Active,JVP,https://www.instagram.com/berkeleylawjewsforpalestine/,,
University of California Berkeley,UC Berkeley Graduate SJP,Active,SJP,https://www.instagram.com/ucbgrads4palestine/,,
University of California Berkeley,Cal YDSA,Active,Other,https://www.instagram.com/calydsa/,,
University of California Berkeley,Palestinian Public Health at UC Berkeley,Active,Other,https://www.instagram.com/ucb_pph/,,
