University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Adler University,"17 North Dearborn St. Chicago, IL 60602",17 North Dearborn St.,,Chicago,IL,60602,,41.88461,-87.629325,402,Midwest,Illinois
Alabama A&M University,"4900 Meridian St N Huntsville, AL 35811",4900 Meridian St N,,Huntsville,AL,35811,,34.783789,-86.572355,592,South,Alabama
Albion College,"611 E Porter St. Albion, MI 49224",611 E Porter St.,,Albion,MI,49224,,42.24392,-84.74582,1,Midwest,Michigan
Allan Hancock College,"800 S College Dr, Santa Maria, CA 93454","800 S College Dr,",,Santa Maria,CA,93454,,34.94382,-120.42144,516,West,California
Allegheny College,"520 N Main St Meadville, PA 16335",520 N Main St,,Meadville,PA,16335,,41.64797,-80.14624,593,Northeast,Pennsylvania
American Jewish University,"15600 Mulholland Dr. Los Angeles, CA 90077",15600 Mulholland Dr.,,Los Angeles,CA,90077,,34.12891,-118.4707,508,West,California
American River College,"4700 College Oak Dr Sacramento, CA 95841",4700 College Oak Dr,,Sacramento,CA,95841,,38.64935,-121.34829,685,West,California
American University,"4400 Massachusetts Ave NW Washington, DC 20016",4400 Massachusetts Ave NW,,Washington,DC,20016,,38.93624,-77.08622,2,South,"Washington, D.C."
Amherst College,"220 South Pleasant Street Amherst, MA 1002",220 South Pleasant Street,,Amherst,MA,1002,,42.370233,-72.519705,403,Northeast,Massachusetts
Anne Arundel Community College,"101 College Pkwy Arnold, MD 21012",101 College Pkwy,,Arnold,MD,21012,,39.054215,-76.515801,3,South,Maryland
Antioch University Seattle,"2400 3rd Ave #200 Seattle, WA 98121",2400 3rd Ave #200,,Seattle,WA,98121,,47.61582,-122.34615,362,West,Washington
Appalachian State University,"287 Rivers St, Boone, NC 28608","287 Rivers St,",,Boone,NC,28608,,36.211159,-81.677439,4,South,North Carolina
Arizona State University,"1151 S. Forest Ave Tempe, AZ 85281",1151 S. Forest Ave,,Tempe,AZ,85281,,33.416801,-111.936444,5,West,Arizona
Arkansas Tech University,"215 W O St. Russellville, AR 72801",215 W O St.,,Russellville,AR,72801,,35.29368,-93.13594,499,South,Arkansas
Atlanta University Center Consortium,"156 Mildred St SW Atlanta, GA 30314",156 Mildred St SW,,Atlanta,GA,30314,,33.750246,-84.411778,363,South,Georgia
Auburn University,"182 S College St Auburn, AL 36849",182 S College St,,Auburn,AL,36849,,32.604459,-85.481885,6,South,Alabama
Augsburg University,"2211 Riverside Ave Minneapolis, MN 55454",2211 Riverside Ave,,Minneapolis,MN,55454,,44.96746,-93.24115,7,Midwest,Minnesota
Augustana College,"639 38th St Rock Island, IL 61201",639 38th St,,Rock Island,IL,61201,,41.50513,-90.54723,364,Midwest,Illinois
Avila University,"11901 Wornall Rd Kansas City, MO 64145",11901 Wornall Rd,,Kansas City,MO,64145,,38.91229,-94.59172,8,Midwest,Missouri
Babson College,"231 Forest St Babson Park, MA 02457",231 Forest St,,Babson Park,MA,02457,,42.392353,-71.220827,501,Northeast,Massachusetts
Ball State University,"2000 W University Avenue Muncie, IN 47306",2000 W University Avenue,,Muncie,IN,47306,,40.19729,-85.40887,776,Midwest,Indiana
Bard College,"30 Campus Rd, Annandale-On-Hudson, NY 12504","30 Campus Rd,",,Annandale-On-Hudson,NY,12504,,42.019177,-73.907095,9,Northeast,New York
Barry University,"11300 NE 2nd Ave Miami Shores, FL 33161",11300 NE 2nd Ave,,Miami Shores,FL,33161,,25.87884,-80.19614,594,South,Florida
Bates College,"2 Andrews Rd Lewiston, ME 4240",2 Andrews Rd,,Lewiston,ME,4240,,44.106101,-70.20357,10,Northeast,Maine
Baylor University,"1301 S University Parks Dr Waco, TX 76706",1301 S University Parks Dr,,Waco,TX,76706,,31.550983,-97.115177,365,South,Texas
Becker College,"61 Sever St Worcester, MA 01609",61 Sever St,,Worcester,MA,01609,,42.26902,-71.81191,537,Northeast,Massachusetts
Bellevue College,"3000 Landerholm Cir SE Bellevue, WA 98007",3000 Landerholm Cir SE,,Bellevue,WA,98007,,47.58488,-122.14872,11,West,Washington
Belmont University,"1900 Belmont Nashville, TN 37212",1900 Belmont,,Nashville,TN,37212,,36.13396,-86.79528,777,South,Tennessee
Beloit College,"700 College St Beloit, WI 53511",700 College St,,Beloit,WI,53511,,42.50311,-89.029595,12,Midwest,Wisconsin
Benedictine University,"5700 College Rd Lisle, IL 60532",5700 College Rd,,Lisle,IL,60532,,41.78002,-88.09337,13,Midwest,Illinois
Bentley University,"175 Forest St Waltham, MA 2452",175 Forest St,,Waltham,MA,2452,,42.390633,-71.222323,14,Northeast,Massachusetts
Berklee College of Music,"1140 Boylston Street Boston Boston, MA 02215",1140 Boylston Street Boston,,Boston,MA,02215,,42.34664,-71.08954,677,Northeast,Massachusetts
Biola University,"13800 Biola Ave La Mirada, CA 90639",13800 Biola Ave,,La Mirada,CA,90639,,33.90344,-118.01656,16,West,California
Blue Ridge Community College,"180 W. Campus Dr Flat Rock, NC 28731",,180 W. Campus Dr,Flat Rock,NC,28731,,35.30799,-82.42565,579,South,North Carolina
Boise State University,"1910 W University Dr Boise, ID 83725",1910 W University Dr,,Boise,ID,83725,,43.603125,-116.204707,17,West,Idaho
Boston College,"140 Commonwealth Avenue Chestnut Hill, MA 2467",140 Commonwealth Avenue,,Chestnut Hill,MA,2467,,42.3351,-71.17025,18,Northeast,Massachusetts
Boston Graduate School of Psychoanalysis,"1581 Beacon St Brookline, MA 2446",1581 Beacon St,,Brookline,MA,2446,,42.33916,-71.13312,404,Northeast,Massachusetts
Boston University,"233 Bay State Rd Boston, MA 2215",233 Bay State Rd,,Boston,MA,2215,,42.35092,-71.10395,19,Northeast,Massachusetts
Bowdoin College,"255 Maine St Brunswick, ME 4011",255 Maine St,,Brunswick,ME,4011,,43.906685,-69.96517,20,Northeast,Maine
Bowling Green State University,"441 Woodland Circle Bowling Green, OH 43403",441 Woodland Circle,,Bowling Green,OH,43403,,41.3793,-83.60679,595,Midwest,Ohio
Bradley University,"1501 W Bradley Ave Peoria, IL 61625",1501 W Bradley Ave,,Peoria,IL,61625,,40.69651,-89.61607,21,Midwest,Illinois
Brandeis University,"415 South St Waltham, MA 2453",415 South St,,Waltham,MA,2453,,42.3648,-71.25795,22,Northeast,Massachusetts
Brookhaven College,"3939 Valley View Ln Farmers Branch, TX 75244",3939 Valley View Ln,,Farmers Branch,TX,75244,,32.92552,-96.84953,517,South,Texas
Brown University,"69 Brown Street Providence, RI 2912",69 Brown Street,,Providence,RI,2912,,41.827622,-71.402932,23,Northeast,Rhode Island
Bryn Mawr College,"101 N Merion Ave Bryn Mawr, PA 19010",101 N Merion Ave,,Bryn Mawr,PA,19010,,40.024745,-75.318695,24,Northeast,Pennsylvania
Bucknell University,"701 Moore Ave Lewisburg, PA 17837",701 Moore Ave,,Lewisburg,PA,17837,,40.95654,-76.88449,25,Northeast,Pennsylvania
Buena Vista University,"610 W 4th St Storm Lake, IA 50588",610 W 4th St,,Storm Lake,IA,50588,,42.642366,-95.208033,26,Midwest,Iowa
Butler University,"4600 Sunset Ave Indianapolis, IN 46208",4600 Sunset Ave,,Indianapolis,IN,46208,,39.84135,-86.16918,405,Midwest,Indiana
California College of the Arts,"5212 Broadway Oakland, CA 94618",5212 Broadway,,Oakland,CA,94618,,37.83599,-122.25125,596,West,California
California Community Colleges System,"1102 Q St Sacramento, CA 95811",1102 Q St,,Sacramento,CA,95811,,38.571811,-121.494432,27,West,California
California Institute of Integral Studies,"1453 Mission St San Francisco, CA 94103",1453 Mission St,,San Francisco,CA,94103,,37.77458,-122.41618,602,West,California
California Lutheran University,"60 W Olsen Rd Thousand Oaks, CA 91360",60 W Olsen Rd,,Thousand Oaks,CA,91360,,34.22252,-118.8819,603,West,California
California Lutheran University,"60 W Olsen Rd Thousand Oaks, CA 91360",60 W Olsen Rd,,Thousand Oaks,CA,91360,,34.22252,-118.8819,604,West,California
"California Polytechnic State University, SLO","1 Grand Avenue San Luis Obispo, CA 93407",1 Grand Avenue,,San Luis Obispo,CA,93407,,35.296354,-120.652929,28,West,California
"California State Polytechnic University, Humboldt","1 Harpst St Arcata, CA 95521",1 Harpst St,,Arcata,CA,95521,,40.87399,-124.08153,757,West,California
Cal Poly Pomona,"3801 W Temple Ave Pomona, CA 91768",3801 W Temple Ave,,Pomona,CA,91768,,34.05041,-117.81655,414,West,California
Calvin College,"3201 Burton St SE Grand Rapids, MI 49546",3201 Burton St SE,,Grand Rapids,MI,49546,,42.927065,-85.58928,29,Midwest,Michigan
Capital University,"E Main St & College Ave Bexley, OH 43209",E Main St & College Ave,,Bexley,OH,43209,,39.95724,-82.93999,335,Midwest,Ohio
Carleton College,"1 North College Street Northfield, MN 55057",1 North College Street,,Northfield,MN,55057,,44.459466,-93.155355,368,Midwest,Minnesota
Carnegie Mellon University,"5000 Forbes Avenue Pittsburgh, PA 15213",5000 Forbes Avenue,,Pittsburgh,PA,15213,,40.44451,-79.94321,30,Northeast,Pennsylvania
Carthage College,"2001 Alford Park Dr Kenosha, WI 53140",2001 Alford Park Dr,,Kenosha,WI,53140,,42.62339,-87.8243,605,Midwest,Wisconsin
Case Western Reserve University,"10900 Euclid Avenue Cleveland, OH 44106",10900 Euclid Avenue,,Cleveland,OH,44106,,41.5059,-81.60905,31,Midwest,Ohio
Castleton University,"62 Alumni Drive Castleton, VT 05735",62 Alumni Drive,,Castleton,VT,05735,,43.60924,-73.17797,480,Northeast,Vermont
Central Connecticut State University,"1615 Stanley Street New Britain, CT 6051",1615 Stanley Street,,New Britain,CT,6051,,41.653067,-72.769287,369,Northeast,Connecticut
Central Michigan University,"1200 South Franklin Street Mount Pleasant, MI 48859",1200 South Franklin Street,,Mount Pleasant,MI,48859,,43.591548,-84.774195,32,Midwest,Michigan
Central Washington University,"400 E University Way Ellensburg, WA 98926",400 E University Way,,Ellensburg,WA,98926,,46.99962,-120.54311,606,West,Washington
Champlain College,"163 S Willard St Burlington, VT 05401",163 S Willard St,,Burlington,VT,05401,,44.47556,-73.20573,765,Northeast,Vermont
Chapman University,"1 University Drive Orange, CA 92866",1 University Drive,,Orange,CA,92866,,33.79346,-117.85214,33,West,California
Citrus College,"1000 W Foothill Blvd Glendora, CA 91741",1000 W Foothill Blvd,,Glendora,CA,91741,,34.13422,-117.88686,530,West,California
Claremont Colleges - Claremont McKenna,"888 North Columbia Avenue Claremont, CA 91711",888 North Columbia Avenue,,Claremont,CA,91711,,34.102431,-117.711307,37,West,California
Claremont Colleges - Pitzer,"1050 North Mills Avenue Claremont, CA 91711",1050 North Mills Avenue,,Claremont,CA,91711,,34.10424,-117.70492,38,West,California
Claremont Colleges - Pomona,"333 North College Way Claremont, CA 91711",333 North College Way,,Claremont,CA,91711,,34.09681,-117.71282,39,West,California
Claremont Colleges - Scripps,"1030 North Columbia Avenue Claremont, CA 91711",1030 North Columbia Avenue,,Claremont,CA,91711,,34.10489,-117.71236,40,West,California
Claremont Colleges - System,"3962, 747 N Dartmouth Ave Claremont, CA 91711","3962, 747 N Dartmouth Ave",,Claremont,CA,91711,,34.1014,-117.71385,41,West,California
Clark College,"1933 Fort Vancouver Way Vancouver, WA 98663",1933 Fort Vancouver Way,,Vancouver,WA,98663,,45.63433,-122.65257,42,West,Washington
Clark University,"950 Main Street Worcester, MA 1610",950 Main Street,,Worcester,MA,1610,,42.25107,-71.82349,43,Northeast,Massachusetts
Clemson University,"230 Kappa Street Clemson, SC 29634",230 Kappa Street,,Clemson,SC,29634,,34.67504,-82.83688,418,South,South Carolina
Cleveland State University,"2121 Euclid Avenue Cleveland, OH 44115",2121 Euclid Avenue,,Cleveland,OH,44115,,41.5022,-81.67532,44,Midwest,Ohio
Clovis Community College,"10309 N. Willow Ave Fresno, CA 93730",10309 N. Willow Ave,,Fresno,CA,93730,,36.88497,-119.73015,510,West,California
Colby College,"4000 Mayflower Hill Dr Waterville, ME 04901",4000 Mayflower Hill Dr,,Waterville,ME,04901,,44.559897,-69.659659,523,Northeast,Maine
Colgate University,"13 Oak Drive Hamilton, NY 13346",13 Oak Drive,,Hamilton,NY,13346,,42.81967,-75.53585,419,Northeast,New York
College of Charleston,"66 George St Charleston, SC 29424",66 George St,,Charleston,SC,29424,,32.78372,-79.93725,544,South,South Carolina
College of DuPage,"425 Fawell Blvd. Glen Ellyn, IL 60137",425 Fawell Blvd.,,Glen Ellyn,IL,60137,,41.84264,-88.06624,759,Midwest,Illinois
College of Lake County,"19351 West Washington Street Grayslake, IL 60030",19351 West Washington Street,,Grayslake,IL,60030,,42.35864,-88.01054,45,Midwest,Illinois
College of New Jersey,"2000 Pennington Road Ewing Township, NJ 8628",2000 Pennington Road,,Ewing Township,NJ,8628,,40.27092,-74.783,420,Northeast,New Jersey
College of San Mateo,"1700 W Hillsdale Blvd San Mateo, CA 94402",1700 W Hillsdale Blvd,,San Mateo,CA,94402,,37.53192,-122.33525,755,West,California
College of Southern Nevada,"3200 East Cheyenne Ave. North Las Vegas, NV 89030",3200 East Cheyenne Ave.,,North Las Vegas,NV,89030,,36.21956,-115.10542,754,West,Nevada
College of the Holy Cross,"1 College Street Worcester, MA 1610",1 College Street,,Worcester,MA,1610,,42.23969,-71.81258,46,Northeast,Massachusetts
College of William and Mary,"200 Stadium Drive Williamsburg, VA 23186",200 Stadium Drive,,Williamsburg,VA,23186,,37.271811,-76.713335,47,South,Virginia
Colorado College,"14 East Cache La Poudre Street Colorado Springs, CO 80903",14 East Cache La Poudre Street,,Colorado Springs,CO,80903,,38.84672,-104.82429,421,West,Colorado
Colorado School of Mines,"1869 West Campus Road Golden, CO 80401",1869 West Campus Road,,Golden,CO,80401,,39.74733,-105.22278,422,West,Colorado
Colorado State University,"711 Oval Drive Fort Collins, CO 80523",711 Oval Drive,,Fort Collins,CO,80523,,40.57766,-105.08177,48,West,Colorado
Columbia College Chicago,"600 South Michigan Avenue Chicago, IL 60605",600 South Michigan Avenue,,Chicago,IL,60605,,41.874423,-87.624365,49,Midwest,Illinois
Columbia University/Barnard College,"116th St & Broadway New York, NY 10027",116th St & Broadway,,New York,NY,10027,,40.707094,-74.012032,50,Northeast,New York
Columbus State Community College,"550 E Spring St. Columbus, OH 43215",550 E Spring St.,,Columbus,OH,43215,,39.96919,-82.98718,506,Midwest,Ohio
Columbus State University ,"4225 University Ave Columbus, GA 31907",4225 University Ave,,Columbus,GA,31907,,32.5043,-84.93839,607,South,Georgia
Community College of Philadelphia,"1700 Spring Garden Street Philadelphia, PA 19130",1700 Spring Garden Street,,Philadelphia,PA,19130,,39.96205,-75.16727,370,Northeast,Pennsylvania
Community College of Rhode Island,"400 East Ave Warwick, RI 02886",400 East Ave,,Warwick,RI,02886,,41.71657,-71.47785,495,Northeast,Rhode Island
Connecticut College,"270 Mohegan Avenue Parkway New London, CT 6320",270 Mohegan Avenue Parkway,,New London,CT,6320,,41.37848,-72.10378,51,Northeast,Connecticut
Cooper Union,"30 Cooper Sq New York, NY 10003",30 Cooper Sq,,New York,NY,10003,,40.72813,-73.99162,608,Northeast,New York
Cornell University,"349 Pine Tree Road Ithaca, NY 14850",349 Pine Tree Road,,Ithaca,NY,14850,,42.43787,-76.46326,52,Northeast,New York
County College of Morris,"214 Center Grove Rd Randolph, NJ 07869",214 Center Grove Rd,,Randolph,NJ,07869,,40.85769,-74.58059,542,Northeast,New Jersey
Creighton University,"2500 California Plaza Omaha, NE 68178",2500 California Plaza,,Omaha,NE,68178,,41.26533,-95.94935,423,Midwest,Nebraska
CSU Channel Islands,"1 University Drive Camarillo, CA 93012",1 University Drive,,Camarillo,CA,93012,,34.16538,-119.04488,408,West,California
CSU Chico,"400 West 1st Street Chico, CA 95928",400 West 1st Street,,Chico,CA,95928,,39.72973,-121.84478,53,West,California
CSU Dominguez Hills,"1000 E. Victoria St. Carson, CA 90747",1000 E. Victoria St.,,Carson,CA,90747,,33.8671,-118.25743,567,West,California
CSU East Bay,"25800 Carlos Bee Boulevard Hayward, CA 94542",25800 Carlos Bee Boulevard,,Hayward,CA,94542,,37.65897,-122.0621,406,West,California
CSU Fresno,"5241 North Maple Avenue Fresno, CA 93740",5241 North Maple Avenue,,Fresno,CA,93740,,36.81057,-119.74507,409,West,California
CSU Fullerton,"800 North State College Boulevard Fullerton, CA 92831",800 North State College Boulevard,,Fullerton,CA,92831,,33.87994,-117.88542,54,West,California
CSU Long Beach,"1250 North Bellflower Boulevard Long Beach, CA 90815",1250 North Bellflower Boulevard,,Long Beach,CA,90815,,33.782236,-118.122275,55,West,California
CSU Los Angeles,"5151 State University Drive Los Angeles, CA 90032",5151 State University Drive,,Los Angeles,CA,90032,,34.06245,-118.17164,407,West,California
CSU Monterey Bay,"100 Campus Center Seaside, CA 93955",100 Campus Center,,Seaside,CA,93955,,36.65297,-121.79551,410,West,California
CSU Northridge,"18111 Nordhoff Street Northridge, CA 91330",18111 Nordhoff Street,,Northridge,CA,91330,,34.235635,-118.528493,56,West,California
CSU Sacramento,"6000 J Street Sacramento, CA 95819",6000 J Street,,Sacramento,CA,95819,,38.56124,-121.42446,366,West,California
CSU San Bernadino,"5500 University Parkway San Bernardino, CA 92407",5500 University Parkway,,San Bernardino,CA,92407,,34.17923,-117.32666,411,West,California
CSU San Marcos,"333 South Twin Oaks Valley Road San Marcos, CA 92078",333 South Twin Oaks Valley Road,,San Marcos,CA,92078,,33.127474,-117.165052,367,West,California
CSU Sonoma,"1801 East Cotati Avenue Rohnert Park, CA 94928",1801 East Cotati Avenue,,Rohnert Park,CA,94928,,38.33966,-122.67358,412,West,California
CSU Stanislaus,"1 University Cir Turlock, CA 95382",1 University Cir,,Turlock,CA,95382,,37.52259,-120.85754,597,West,California
CSU System,"915 L Street #1160 Sacramento, CA 95814",915 L Street #1160,,Sacramento,CA,95814,,38.57862,-121.49502,413,West,California
CUNY Baruch College,"55 Lexington Ave New York, NY 10010",55 Lexington Ave,,New York,NY,10010,,40.74043,-73.98391,415,Northeast,New York
CUNY Borough of Manhattan Community College,"199 Chambers St New York, NY 10007",199 Chambers St,,New York,NY,10007,,40.71661,-74.01129,576,Northeast,New York
CUNY Bronx Community College,"2155 University Avenue Bronx, NY 10453",2155 University Avenue,,Bronx,NY,10453,,40.857193,-73.909854,416,Northeast,New York
CUNY Brooklyn College,"2900 Bedford Avenue Brooklyn, NY 11210",2900 Bedford Avenue,,Brooklyn,NY,11210,,40.63165,-73.95287,57,Northeast,New York
CUNY City College,"160 Convent Avenue New York, NY 10031",160 Convent Avenue,,New York,NY,10031,,40.81941,-73.95017,58,Northeast,New York
CUNY College of Staten Island,"2800 Victory Boulevard Staten Island, NY 10314",2800 Victory Boulevard,,Staten Island,NY,10314,,40.60863,-74.15377,59,Northeast,New York
CUNY Craig Newmark Graduate School of Journalism,"219 W 40th St New York, NY 10018",219 W 40th St,,New York,NY,10018,,40.75534,-73.98902,610,Northeast,New York
CUNY Guttman Community College,"50 W 40th St New York, NY 10018",50 W 40th St,,New York,NY,10018,,40.75296,-73.98397,599,Northeast,New York
CUNY Hostos Community College,"500 Grand Concourse Bronx, NY 10451",500 Grand Concourse,,Bronx,NY,10451,,40.8179,-73.92688,598,Northeast,New York
CUNY Hunter College,"695 Park Avenue New York, NY 10065",695 Park Avenue,,New York,NY,10065,,40.76874,-73.96518,60,Northeast,New York
CUNY John Jay College,"524 West 59th Street New York, NY 10019",524 West 59th Street,,New York,NY,10019,,40.76555,-73.97665,61,Northeast,New York
CUNY Kingsborough Community College,"2001 Oriental Boulevard Brooklyn, NY 11235",2001 Oriental Boulevard,,Brooklyn,NY,11235,,40.578625,-73.93469,62,Northeast,New York
CUNY LaGuardia Community College,"31-10 Thomson Ave Queens, NY 11101",31-10 Thomson Ave,,Queens,NY,11101,,40.74394,-73.93515,600,Northeast,New York
CUNY Lehman College,"250 Bedford Park Boulevard West Bronx, NY 10468",250 Bedford Park Boulevard West,,Bronx,NY,10468,,40.875282,-73.893734,417,Northeast,New York
CUNY Medgar Evers College,"1650 Bedford Avenue Brooklyn, NY 11225",1650 Bedford Avenue,,Brooklyn,NY,11225,,40.66609,-73.95699,63,Northeast,New York
CUNY New York City College of Technology (City Tech),"300 Jay St Brooklyn, NY 11201",300 Jay St,,Brooklyn,NY,11201,,40.69551,-73.98737,577,Northeast,New York
CUNY Queensborough Community College,"222-05 56th Ave Queens, NY 11364",222-05 56th Ave,,Queens,NY,11364,,40.7535,-73.758309,611,Northeast,New York
CUNY Queens College,"65-30 Kissena Boulevard Flushing, NY 11367",65-30 Kissena Boulevard,,Flushing,NY,11367,,40.736143,-73.814925,336,Northeast,New York
CUNY School of Labor and Urban Studies,"25 W 43rd St 19th floor New York, NY 10036",25 W 43rd St 19th floor,,New York,NY,10036,,40.75482,-73.98173,612,Northeast,New York
CUNY School of Law,"2 Court Square West Long Island City, NY 11101",2 Court Square West,,Long Island City,NY,11101,,40.7467,-73.94369,64,Northeast,New York
CUNY School of Professional Studies,"119 W 31st St New York, NY 10001",119 W 31st St,,New York,NY,10001,,40.74836,-73.99003,613,Northeast,New York
CUNY System,"1150 Carroll Street Brooklyn, NY 11225",1150 Carroll Street,,Brooklyn,NY,11225,,40.66714,-73.95183,65,Northeast,New York
CUNY The Graduate Center,"365 5th Avenue New York, NY 10016",365 5th Avenue,,New York,NY,10016,,40.74872,-73.98413,66,Northeast,New York
CUNY York College,"94-20 Guy R Brewer Blvd Jamaica, NY 11451",94-20 Guy R Brewer Blvd,,Jamaica,NY,11451,,40.702123,-73.795464,580,Northeast,New York
Curry College,"1071 Blue Hill Avenue Milton, MA 2186",1071 Blue Hill Avenue,,Milton,MA,2186,,42.23473,-71.11356,67,Northeast,Massachusetts
Dartmouth College,"6016 McNutt Hall Hanover, NH 3755",6016 McNutt Hall,,Hanover,NH,3755,,43.71211,-72.26843,68,Northeast,New Hampshire
Davidson College,"405 N Main Street Davidson, NC 28035",405 N Main Street,,Davidson,NC,28035,,35.50224,-80.84752,482,South,North Carolina
De Anza College,"21250 Stevens Creek Boulevard Cupertino, CA 95014",21250 Stevens Creek Boulevard,,Cupertino,CA,95014,,37.31926,-122.04461,69,West,California
Delaware Valley College,"700 E Butler Ave. Doylestown, PA 18901",700 E Butler Ave.,,Doylestown,PA,18901,,40.29807,-75.1613,70,Northeast,Pennsylvania
Denison University,"100 West College Street Granville, OH 43023",100 West College Street,,Granville,OH,43023,,40.06933,-82.52009,424,Midwest,Ohio
DePaul University,"2400 North Sheffield Avenue Chicago, IL 60614",2400 North Sheffield Avenue,,Chicago,IL,60614,,41.9255,-87.653765,71,Midwest,Illinois
DePauw University,"313 S Locust St Greencastle, IN 46135",313 S Locust St,,Greencastle,IN,46135,,39.64087,-86.86036,72,Midwest,Indiana
Diablo Valley College,"321 Golf Club Rd Pleasant Hill, CA 94523",321 Golf Club Rd,,Pleasant Hill,CA,94523,,37.97132,-122.07072,681,West,California
Dickinson College,"28 N College St. Carlisle, PA 17013",28 N College St.,,Carlisle,PA,17013,,40.202552,-77.196572,507,Northeast,Pennsylvania
Doane University,"1014 Boswell Avenue Crete, NE 68333",1014 Boswell Avenue,,Crete,NE,68333,,40.622686,-96.951687,73,Midwest,Nebraska
Dominican University,"50 Acacia Ave. San Rafael, CA 94901",50 Acacia Ave.,,San Rafael,CA,94901,,37.97938,-122.51446,568,West,California
Drake University,"2507 University Ave Des Moines, IA 50311",2507 University Ave,,Des Moines,IA,50311,,41.600535,-93.651102,74,Midwest,Iowa
Drew University,"36 Madison Ave Madison, NJ 7940",36 Madison Ave,,Madison,NJ,7940,,40.76067,-74.42744,75,Northeast,New Jersey
Drexel University,"3141 Chestnut St Philadelphia, PA 19104",3141 Chestnut St,,Philadelphia,PA,19104,,39.95412,-75.18691,76,Northeast,Pennsylvania
Duke University,"2138 Campus Dr Durham, NC 27708",2138 Campus Dr,,Durham,NC,27708,,36.000195,-78.93073,77,South,North Carolina
Dutchess Community College,"53 Pendell Rd Poughkeepsie, NY 12601",53 Pendell Rd,,Poughkeepsie,NY,12601,,41.722349,-73.905106,535,Northeast,New York
Earlham College,"801 National Road West Richmond, IN 47374",801 National Road West,,Richmond,IN,47374,,39.82394,-84.91324,78,Midwest,Indiana
East Carolina University,"E 5th St Greenville, NC 27858",E 5th St,,Greenville,NC,27858,,35.611251,-77.372791,337,South,North Carolina
Eastern Florida State College,"3865 North Wickham Road Melbourne, FL 32935",3865 North Wickham Road,,Melbourne,FL,32935,,28.16879,-80.66841,79,South,Florida
Eastern Illinois University,"600 Lincoln Ave Charleston, IL 61920",600 Lincoln Ave,,Charleston,IL,61920,,39.48427,-88.17505,545,Midwest,Illinois
Eastern Michigan University,"900 Oakwood St Ypsilanti, MI 48197",900 Oakwood St,,Ypsilanti,MI,48197,,42.252257,-83.629178,80,Midwest,Michigan
Eastern Washington University,"526 5th St Cheney, WA 99004",526 5th St,,Cheney,WA,99004,,47.489847,-117.578294,425,West,Washington
East Tennessee State University,"1276 Gilbreath Dr Johnson City, TN 37614",1276 Gilbreath Dr,,Johnson City,TN,37614,,36.30418,-82.36686,614,South,Tennessee
Eckerd College,"4200 54th Avenue South Saint Petersburg, FL 33711",4200 54th Avenue South,,Saint Petersburg,FL,33711,,27.71864,-82.69229,81,South,Florida
