Id,Hateful or Not,Class of Hate,Text,User,Source,Date,Group Targeted,Trope
1293279804758937600,0,,"All through German-ruled Europe, Jews were a special target. In what became a policy known as “The Final Solution to the Jewish Question,” the Germans aimed not only to kill every last Jew, but also to remove all evidence of the Jewish people’s contribution to human civilization.",auschwitzxhibit,Subverting the Jewtocracy,08/11/2020,,
1280086510902095876,0,,"@PontybreninR
 Great start to the week,watched zog while having breakfast and spent rest of the morning learning doubles.
Leo also spent a lot of time looking at his own reflection in the mirror 🙈🤣",Victori92472991,Subverting the Jewtocracy,07/06/2020,,
1289577592350289923,1,0,1 Corinthians 6:9-11,E_Keith_M,Subverting the Jewtocracy,08/01/2020,Jewish people,
1322876870380210000,1,0,"#USA 
As long as there are Saudi oil dollars, the looting thoughts of the American rulers are world-eating. As long as the Zionist regime's cancer is in this region, we should watch.",Akbar07686205,Subverting the Jewtocracy,08/10/2020,Jewish people,
1137888065308020000,1,1,Where was Israel in 1589? 1800? 1420? What monetary system did Israel use in 1785? What leader did Israel have in 1810?,Joseetje3,Subverting the Jewtocracy,08/11/2020,Jewish people,
1316924978072268800,1,2,"#Yashaya our Messiah 📖 Hebrews 7:14 For it is evident that our Lord sprang out of Judah; of which tribe Moses spake nothing concerning priesthood 📖 Jeremiah 11:9 And the Lord said unto me, A #conspiracy is found among the men of Judah, and among the inhabitants of Jerusalem",Shemuah,Subverting the Jewtocracy,10/15/2020,Jewish people,
1293327717501480965,1,2,Not true.. she supports sharia law.. do some research.. she believes in #BDS and her husband is a self hating Jew.. why lie???,originalmelk,Subverting the Jewtocracy,08/11/2020,Jewish people,
1293227480157913090,1,3,being a zionist and having a face like that must be a struggle,yeagerbros,Subverting the Jewtocracy,08/09/2020,Jewish people,
1292201485053440000,1,3,What is going on is unacceptable and amounts to a national humiliation. It's time to declare an emergency in the English Channel.,Nigel_Farage,Subverting the Jewtocracy,08/10/2020,Jewish people,
,0,,@DJAtrainflip mmmm u ar tuchin me right there!!!!!!!!play for me anysong okey,,Echo,,,
,0,,"Sometimes when you Google ""Yuezheng Ling"" it comes up with someone called ""Ling Caiyin"" haha! They almost look like twins （・∀・）",,Echo,,,
,1,,RT @realEmilyYoucis: Even in highschool I knew just what to do with (((commies))) https://t.co/e2Bu1bv82E,,Echo,,Jewish people,
,1,,"RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))",,Echo,,Jewish people,
,1,,@JaredTSwift @Ricky_Vaughn99 @Rockprincess818 the (((Breitbart))) article is pretty cucked imo in that it fixates on Muslims. Dat last line.,,Echo,,Jewish people,
,1,,"@Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))",,Echo,,Jewish people,
,1,,"RT @DrDavidDuke: (((New America))) unleashed during #HillarysAltRightSpeech today. 
 

 #AltRight #AltRightMeans #cuckservatives #MAGA https:/…",,Echo,,Jewish people,
,1,,"(((They))) are trying everything they can to stop Trump. Sad! Just a few more days until we succeed, and put the establishment down.",,Echo,,Jewish people,
,1,,"@Music____00 I,m Tracy ,,, #Chief of Pussy Police",,Echo,,Jewish people,
,1,,"Retweeted (((Adam Milstein))) (@AdamMilstein):
 

 Departing! UN Secretary-General Ban Ki-moon NOW admitts the @UN... https://t.co/sCO5Sf0Tlx",,Echo,,Jewish people,
,0,,Telling Pride March I'm 'Toucansexual' https://www.youtube.com/watch?v=pi7VaAN5dyI,,AbuseAnalyzer,,,
,1,4,"I'll probably lift my #GabBoycott #BoycottGab soon. It's clear who is the downvote stalker. It's a single 'entity' and they DO NOT represent the rest of #Gab. This 'entity' seems not to understand that they look like Kim Kardashian hiding behind a telephone pole. The butt is sticking out and everybody can see it. AS IN, there's not a lot regular Gab users yet.",,AbuseAnalyzer,,,
,1,4,Meet a self hating white person.,,AbuseAnalyzer,,,
,1,4,Demand voter ID so Putin doesn't interfere in the mid terms LOL!,,AbuseAnalyzer,,,
,1,5,KELLYANNE SHOULD EITHER TELL HER FAT FUCK OF A HUSBAND TO SHUT THE FUCK UP OR DIVORCE THIS PIECE OF SHIT !,,AbuseAnalyzer,,,
,1,5,"Is folk asatru the cool European controlled ones, or the Jews pretending to be European one? I get em mixed up.",,AbuseAnalyzer,,,
,1,5,"God fearing and not a Leftist/communist/socialist works for me. Race is important but it’s not everything as you point out, there are plenty of idiot commie whites.",,AbuseAnalyzer,,,
,1,6,Russian Orthodox priest 'show trial' to justify Soviet Kikes torturing and murdering of Christian leaders.,,AbuseAnalyzer,,,
,1,6,I pray every day that the leftists who tried to kill my family show up.  I pray they do.  I have been practicing.,,AbuseAnalyzer,,,
,1,6,it would be a shame if someone were to.... just let them die at sea.,,AbuseAnalyzer,,,
,1,,"It’s all about the Benjamins, baby.",Ilhan Omar,ADL,2019,Jewish people,The myth that Jewish people are greedy and selfish.
,1,,"Jewish people have owned the Black voice…The Jewish community, especially in the music industry, in the entertainment [industry] period, they’ll take one of us, the brightest of us, right, that can really feed a whole village, and they’ll take us and milk us till we die.",Ye,ADL,10/16/2022,Jewish people,The myth that Jewish people are greedy and selfish.
,1,,You’re Chinese AND you’re Jewish? Ohhh so that’s why you are the way you are,Teacher I shall not name,Me,2017,Jewish people,"The seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking."
,1,,"Her dad is Jewish, he must be very smart.",Relative,Me,2010,Jewish people,"The seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking."
,1,,"90% of Black people in entertainment — from sports, to music, to acting — are in some way tied into Jewish businesspeople…there’s a Jewish person right there controlling the country, the Jewish people controlling who gets the best video or not, controlling what the media says about me.",Ye,ADL,10/24/2022,Jewish people,"The myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions."
,1,,"Through diplomacy, NGOization, education, trade, tourism, and cultural exchange, the zionist entity and its agents have invested billions to make the colony accepted and viable to a world that knows that zionists are fascists [all sic]. When these paths to normalize do not work, zionists move to violent censorship of those who adamantly oppose normalizing with imprisonment, exile, and martyrdom.",Jisr Collective,ADL,August 2022,Jewish people,"The myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions."
,1,,I want to talk about the political influence in this country that says it is okay for people to push for allegiance to a foreign country.,Ilhan Omar,ADL,2019,Jewish people,"The myth that Jewish people are ultimately loyal to Israel, such that Jewish citizens of other countries are disloyal to those countries."
,1,,"Mr. Lieberman, as an Orthodox Jew, is also a dual citizen of Israel. The State of Israel is not synonymous with the United States, and the test he would probably have to pass is: Would he be more faithful to the Constitution of the United States than to the ties that any Jewish person would have to the State of Israel?",Louis Farrakhan,ADL,2000,Jewish people,"The myth that Jewish people are ultimately loyal to Israel, such that Jewish citizens of other countries are disloyal to those countries."
,1,,"[Adolf Hitler] didn’t kill six million Jews. That’s just, like, factually incorrect…The Holocaust is not what happened. Let’s look at the facts of that.",Ye,ADL,December 2022,Jewish people,The myth that the Holocaust didn't happen.
,1,,The number of Jewish people killed during the Holocaust is a Zionist exaggeration.,Al Jazeera,ADL,May 2019,Jewish people,The myth that the Holocaust didn't happen.
,1,,dirty Jew,,,,Jewish people,The association between Jewish people and being dirty.
,1,,dirty Zionist,,,,Jewish people,The association between Jewish people and being dirty.
,1,,Jewesses with attitudes,,JWA,,"Jewish people, women","The Jewish American Princess stereotype— that Jewish women are greedy, spoiled, materialistic, self-indulgent, and obsessed with their physical appearances. "
,1,,Who is to blame if there is nothing Jewish about a Jewish home? Find the woman,American Hebrew,JWA,1916,"Jewish people, women",The stereotype of Jewish mothers forcefeeding their children and nurturing them in a suffocating way.
,1,,"How many Jewish mothers does it take to change a light bulb? None, I’ll sit in the dark",,JWA,,"Jewish people, women",The stereotype of Jewish mothers forcefeeding their children and nurturing them in a suffocating way.
,1,,What’s the Matter with the Modern Girl?,,JWA,,"Jewish people, women",The stereotype of the Jewish woman as the “Ghetto Girl”.
,1,,Did you convert? Did you have a bat mitzvah? Is your mom Jewish? You must be adopted. How are you really Jewish?,,JOCC,,"Jewish people, people of color","The myth that if a person of color is Jewish, they must have converted and not been born ethnically Jewish."
,1,,Zionism is white supremacy,,Me,,"Jewish people, people of color","The stereotype that all Jewish people are white, erasing Black and brown Jewish people of the Sephardi, Mizrahi, and Beta Israel communities, among others."
,1,,Jesus was Palestinian and you killed him too!,,ADL,5/16/2021,Jewish people,The myth that Jewish people killed Jesus.
,1,,"Hip Hop is being used by real Devils to get us to offer ourselves and our children up to a very real Blood Sacrifice. The demonic High Priests – Edgar Bronfman Sr and Jr, Len Blavatnik, David Geffen, Clive Davis, Doug Morris, Bryan Turner, Jimmy Iovine, Lyor Cohen, Craig Kallman, Tommy Mottola, Barry Weiss, Sir Lucian Grainge, just to name a few (all Jewish) – have ingested all of the ‘blood’ that we have scarified on their altar.",Wesley Muhammad,ADL,October 2022,Jewish people,Blood libel—the myth that Jewish people kill Christian children to use them for religious rituals. 
,1,,"The war in Ukraine is based on Jews’ lust for murder and blood, and the blood of Ukrainian, American and European NATO soldiers would have curative power for Jewry that puts the Jews on top.",Brother Nathanael,ADL,February 2022,Jewish people,Blood libel—the myth that Jewish people kill Christian children to use them for religious rituals. 