Source,Text,Antisemitic (Yes/No),Implicit or Explicit if antisemitic,Rationale if antisemitic,Other rationale if not listed in Column E
Toxigen," A Jewish New Yorker recently had his ketubah stolen by a waiter he'd tipped pretty generously by his standards, but which the waiter still felt he",No,,,
Toxigen," A representative from the university confirmed that the event will go on as planned, despite the allegedly exclusionary nature of the event. ""We are sorry if",No,,,
Toxigen," A widespread conspiracy theory holds that there is a group of elites, including many Jews, that are trying to gain undue control over governments and economies.",No,,,
Toxigen," also, i will end this by saying that I do not necessarily support Trump -- this post is just generally about anti-semitism I",No,,,
Toxigen," I'm not telling everyone to put on a yamaka and gezenge and walk to temple with a gun in your hands, because this is",Yes,Implicit,General call to harm Jewish people without a specific reason,
Toxigen," In the last two months, left-leaning Jews have issued statements criticizing identitarianism and the practice of delegitimizing the State of Israel and",No,,,
Toxigen," jewish issues are framed as ""internal"" jewish issues are framed as ""can't be discussed"" or ""taboo""",Yes,Explicit,Promotes the myth that Jewish people are dishonest (but not about Holocaust denial),
Toxigen," Last Friday, Sarah Silverman came out in favor of Bernie Sanders. She said that I âhave a lot to learnâ about the",No,,,
Toxigen," my fatherâs middle name is gottesman, which is a historically jewish name",No,,,
Toxigen," Rachel Freier-- judge in new yorkWhy I'll Timeout My Kids says ""no"" when I was a child, I",No,,,
Toxigen," the founding of Israel was an event of great hope, for all jews and for those who love jews",No,,,
Toxigen," the only group of people who really want to repress free speech tend to be wealthy and for the most part, chinese\ ",No,,,
Toxigen," there are four sites that split the land, and jews are forbidden from praying there",No,,,
Toxigen_ann," We have a sign, and this sign is the name of God",No,,,
Toxigen," When I think about how I'd like my 3 month old son, Liam, to grow up, there is one quality that really stand out to me",No,,,
Toxigen," when Lisa's Jewish neighbours moved away, Marge was excited at the possibility of having the Cheaper By The Doze",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Echo,"......... #Block Mexicans @Mexican_Block !!!

-----------------&gt; ( #Niggas ) too ...",No,,,
ADL,"…they manage the media, the finances and have hidden the truth from the world.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,"""""""Baby girl that pussy wetter than chicken noodle soup"""" @KodakBlack1k""",No,,,
SBIC,"""""""bro i'm actually about to get so lit in this article"""" - @kileab1 one bottle of wine down vs uni work.""",No,,,
SBIC,"""the sbux lady saw a pic i took of their wall on my phone and goes """"seriously how did they do that"""" and i said """"ya i know it was me""""&#128514;""",No,,,
ADL,“To Jew someone down” became a common expression meaning to bargain unscrupulously for a lower price.,No,,,
Echo,(((((((((☆boooom☆))))))))))))) http://t.co/UFHhtiEAe8,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,"(((Echoes))), exposed: The secret symbol neo-Nazis use to target Jews online https://t.co/mNj1cRXiYW via @MicNews",No,,,
Toxigen,"(Aug 1st) The jews act as bludgers, and try to get as much wealth as they can from a situation-",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,"[Adolf Hitler] didn’t kill six million Jews. That’s just, like, factually incorrect…The Holocaust is not what happened. Let’s look at the facts of that.",Yes,Explicit,Holocaust denial,
SBIC,[Newcels get in here] When Normies say young love is overrated....,No,,,
Echo,"@ADP_CDA a kike, a gook, a bindi and a nigger.  

these aren't my people, nor are they 90% of Canada's people.",Yes,Explicit,"Depicts Jewish people as an ""other"" that don't belong in a certain country (i.e. xenophobia).",
Echo,@AnimaILife @Overdenken Love it!,No,,,
Echo,@Basseyworld (((in mama n'em voice))) chiiiiiiiile | who u tellin blk!,No,,,
Echo,@CharlesLamadrid @JBurtonXP @AnnCoulter (((Nobel Prize))),Yes,Implicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Echo,"@ElDeeTres can you blame him? All those spics, niggers, gooks, and queers?",No,,,
Echo,@fackinpeter delusional. all (((media))) against Trump. no surprise their polls are unfavorable. So why exactly are YOU against?,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,@Get_Logical it's a good one and not just for Veteran's day but always!!,No,,,
Echo,@happyrunningmom Thanks Sherry! Happy Wednesday!!!!,No,,,
Echo,@ItstheBloom nossa quero,No,,,
Echo,@JaredTSwift @Ricky_Vaughn99 @Rockprincess818 the (((Breitbart))) article is pretty cucked imo in that it fixates on Muslims. Dat last line.,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,"@KarenJBateson You never ""gave us the right"" to be racist, we took it ourselves. Never forget: you can't stop us.",No,,,
Echo,@KCSwain99 @_HankRearden @hateful_heretic @tonyharrisfilms @TheNostromoDos ironically called the (((Streisand))) effect,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,@KlavsAugulis @BasedLoller_ @AlimonyMindset you mean the leaf village logo didn't give it away?,No,,,
Echo,@MarkDice Next up on (((their agenda))) is #Bestialiaphobia . Give it 10 years. #Shitlibs and #SJWs have no #RockBottom.,Yes,Implicit,General call to harm Jewish people without a specific reason,
Echo,"@MarlanaFire &gt; A (((Jew)))
Filth.",Yes,Explicit,Depicts Jewish people as dirty.,
Echo,"@minervax Ah ok, thank you I was a bit confused.",No,,,
Echo,"@N7_H2O @WhitestRabbit_ you've got to remember this is the (((media))), not the real world. We've got to stop watching their TV and reading",Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,"@SarahKSilverman 
&gt;All serial killers are White guys
You're fulfilling the stereotype of (((defamer))) of Whites. https://t.co/xym7EF4oin",Yes,Explicit,Depicts Jewish people as hateful.,
Echo,@SpectreForever Do you expect (((parasites))) to say thank you for those who saved them from the ovens? They just want their next meal.,Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
Echo,"@ThinkTrumpsFeel @afdmunich @RepStevenSmith see goy, it doesn't show up on google so it's not real.  just another coincidence, goyim.",Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,@timjacobwise Why aren't you wearing your ((()))? Don't you want to show solidarity with your people against vicious anti-semitism?,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,@TrumpLegal @senatorshoshana It is good to know exactly (((who))) is criticizing Trump because they may have an ethnic (((agenda))),Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,"@vickymummyrc I'm off to bed now, thanks for the chat 😊. Take it gently &amp; be kind to yourself. Thinking of you (((gentle hugs))). Night xx 😴",No,,,
Echo,@WhiteArabi You're right! Only white lives matter!,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,@zikamagic How do these (((people))) think the country is fed?,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,***********The State of Israel is the ancient homeland of the Jewish people. The Jewish people are a connection to our past. Without that,No,,,
Toxigen_ann,"\r- Many say love of jewish people is a problem but there is no love of jewish people, they are unlovable, posses no",Yes,Explicit,General call to harm Jewish people without a specific reason,
ADL,#Covid1948,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,"#DumpStarWars is a good start, but dumping all of (((Hollywood))) would be better",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,#Holohoax,Yes,Explicit,Holocaust denial,
Echo,#Liberty (((Sen. Bill Kintner))) urged to resign over sexually explicit tape of himself on State computers:  https://t.co/3zOehnVvMJ #Tlot,Yes,Implicit,Depicts Jewish people as criminals (but not blood libel),
ADL,#VirusCorona and #isreal occupation are two faces of the same coin.,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,"⬇#ＦＯＬＬＯＷ  ＴＨＥ  ＢＥＳＴ⬇

⭐ ⭐ ⭐ ⭐
╔╗╬╔╗╦╗
╚╗║╠╣║╣
╚╝║╝╚║╚
⭐ ⭐ ⭐ ⭐

️▓█►@Phrank_phoenixX⭐

⭐#MGWV
⭐#Team1Diana
⭐#TityFollowTrain
⭐#TeamFollowBack",No,,,
Echo,🗣🗣🗣 STOP BEING FAKE DEEP. STOP FAKE CARING ABOUT SHIT FOR RETWEETS!!!! Call your family. Be a better friend. Get offline.,No,,,
Echo,3 workshops pour connaître les secrets de la programmation graphique  @MAKIO135 @Priscille_Lgrs @OliviaRessy @Etapes,No,,,
ADL,"90% of Black people in entertainment — from sports, to music, to acting — are in some way tied into Jewish businesspeople…there’s a Jewish person right there controlling the country, the Jewish people controlling who gets the best video or not, controlling what the media says about me.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen,"a child of a mixed marriage a child, any race, of a mixed marriage.a child, any culture, of a mixed",No,,,
Toxigen_ann,"a good heart should be able to accept jews for who they are and as long as they arent trying to kill you, you should",No,,,
Toxigen,Â holocaust polls have often shown that jews usually desiderate fighting hatred with empathy over fighting it with humor,No,,,
SBIC,a jew with a boner charges at a brick wall . he breaks his nose .,Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
SBIC,A Jew with a boner walk into a wall. What hits the wall first? His Nose,Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
Toxigen,a jewish person bringing up that their nationality is jewish is considered very taboo a lot of jewish media has nothing to do with be,No,,,
SBIC,A list of feminist resources 'tackling mens issues' [sic],No,,,
Toxigen_ann,A lot of you are racist and judgemental just because you judge (judge?) an individual based on his race and you are blinded by prejudice.,No,,,
ADL,"A major theme in antisemitic thought and propaganda is the blood libel, the myth that Jews murder non-Jews, especially non-Jewish children, in order to use their blood to perform religious rituals. Most prevalent in the medieval and early modern period, this peculiar accusation has plagued Jews and incited violence against them for centuries.",No,,,
Toxigen,"a reverse mirror image of our world, it's sad to say",No,,,
Toxigen,Â the kosher-style deli,No,,,
Toxigen_ann,A true believer has infinite patience,No,,,
Toxigen,AJ+ posted a video about 1 month ago called '10 Revealing Things Jews Wish No,No,,,
Toxigen,"all jews do bad things and get away with it - jews are like popcorn: once you pop, you cannot stop -",Yes,Explicit,Depicts Jewish people as criminals (but not blood libel),
Toxigen,all jews dont hate their own kind there are good and bad in every race,No,,,
Toxigen,all the world hates israel cause israel is a parasite country with greed and hatred as their only foundation,Yes,Explicit,Denies the Jewish right to self-determination/the right to Israel's existence.,
SBIC,"AltRight: “We’re going to do what’s best for Whites.”
Jews: “White supremacy!”
AltRight: “But isn’t that what jews do?”
Jews: “Yes, but when you do it it’s bad for us and therefore anti-Semitic.”",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,American Airlines has criticized Israel's recent move to bar a Palestinia,No,,,
Toxigen_ann,"Another young girl died. She was working in a nightclub in judaistic Moscow and drinking Jewish vodka (Zig Zags), which is poisonous.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen,Anti-Israel bent: - zionist - anti-zionist - a little bit of anti-zionism - a lot of anti,No,,,
ADL,"Anti-Zionism is one of the modern forms of antisemitism. Behind the negation of Israel’s existence, what is hiding is the hatred of Jews.",No,,,
ADL,"Antisemites frequently suspect Jews of holding allegiance only to fellow Jews and to a uniquely Jewish agenda. Jews are accordingly seen as untrustworthy neighbors and citizens, as if they are inherently disloyal — or have inherently dual loyalties.",No,,,
Toxigen,any jew who will trade with arabs is the vilest jew of all,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,"Bad bitches from Oakland, she could beeee a model",No,,,
Echo,bAEK LOVES U — &amp; HYUNGWON LOVES ¡¡YOU!! (((this is auri right))) https://t.co/EbVbFgs3vB,No,,,
Toxigen_ann,"Being a part of a minority within the Jewish community, I took it upon myself to educate my peers on the issues facing the black community at Yale and",No,,,
ADL,Blood libel accusations have spurred countless unfounded trials and murders of Jewish individuals across the globe.,No,,,
ADL,"But, I mean it’s not that Jews are bad, it’s just they are the head of the Jewish mafia in the United States. They run Uber, they run the health care, they’re going to scam you, they’re going to hurt you.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"Catholics have lost every single battle in the culture wars because they cannot bring themselves to say the word Jew. Because they cannot say the word Jew, they cannot identify the enemy. Am I saying that the Jews are our enemy? Yes, the Jews are the people who killed Christ. They are enemies of the entire human race.",Yes,Explicit,Promotes the myth that Jewish people killed Jesus.,
ADL,"charitable giving is a way for rich people to amass money—power—and then grant it as they see fit personally, enriching their allies, and bypassing much-needed resource redistribution. The concentration of wealth in New England demonstrates the importance of combatting zionism[sic] locally.",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,Chuck Norris walked into a gas chamber. The gas chamber coughed and fell dead.,No,,,
SBIC,"CONDOM Q. What did the penis say to the condom?

A. ""Cover me. I'm going in.""",No,,,
Echo,Congratulations to Rogue One on being the first Star Wars movie where the name of the movie gets said in the movie,No,,,
ADL,"Criticism of Israel is not in and of itself antisemitic. But contemporary anti-Zionism, often characterized by the vilification and ostracization of anyone who supports Israel’s mere existence, is antisemitic.",No,,,
SBIC,"Diversity Visa 
Chuck Shummer
JEW
Diversity Visa
Chuck Shummer
JEW
Diversity Visa
Chuck Shummer
JEW
JEW
JEW
JEW
JEW
TRAITOR FUCKING JEW !
",Yes,Explicit,"Denies that Jewish people are victims, either comparatively or absolutely (not about Holocaust denial)",
ADL,"Does Obama in fact know the relationship, for example, between ‘Passover’ and ‘Christian blood’..?! Or ‘Passover’ and ‘Jewish blood rituals?!’ Much of the chatter and gossip about historical Jewish blood rituals in Europe are real and not fake as they claim; the Jews used the blood of Christians in the Jewish Passover.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
SBIC,Don't tell me to hit you up and then hit me with a boring ass convo &#128530;,No,,,
Toxigen_ann,"even with matzah, or even without any pareve food at all can be brought to a Seder",No,,,
ADL,every single aspect of the Covid agenda is Jewish,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,"Example of Jewish Female Loongus Relationship: One Jewess\' description of her marriage to a long-nosed Jewish male:\r"" My husband",Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
SBIC,"For All who is Wondering Why All this Protest for Americas Flag....JEW
IsraHELL ACUALLY HATES US !",Yes,Explicit,Depicts Jewish people as hateful.,
ADL,"For decades now, Americans have allowed the Jews to drag them into one war after another, all of which were fought with Israel’s interests in mind. The Israelis and their Jewish supporters are eager to hold America’s coat while we beat up Israel’s enemies.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,George Soros’ tentacles reach out into various non-government organizations and nonprofits.,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,global warming is a myth . <repeat> just like the holocaust and women 's rights,Yes,Explicit,Holocaust denial,
Echo,Gotten your tickets for #Olic3 yet? #DontDull it promises to be (((🔥HOT🔥))). Tickets on @nairabox https://t.co/3DPD2H0oJ4 #15daysToOLIC3 https://t.co/eMFGG1gx2Z,No,,,
Echo,haaaaahaaaaahaaaaahahahaha love that my pain and trauma is a joke to everyone !!!!!!!!!!!!!!! :-))))::((((:):):):):):):))))))((((()))::::,No,,,
SBIC,health always comes first im so proud of everything you've accomplished with this i love you my honey #수고했어요쫑디 &#128140;,No,,,
Toxigen,Hello my name is _______________ and I am typing this essay after the killing of all those jews in France recently. I thought it would be,No,,,
SBIC,"hey and if you ever experience a lawsuit from the negro hispanic jews claiming you are racist , simply make an example of the hundreds of negro mexican schools that deny white children .",Yes,Explicit,General call to harm Jewish people without a specific reason,
Toxigen_ann,"Hi, everyone, and welcome to another episode of the Michigan Medicine Podcast . I'm your host, Michael Lowell. Our guest today is Dr. David",No,,,
ADL,"Hip Hop is being used by real Devils to get us to offer ourselves and our children up to a very real Blood Sacrifice. The demonic High Priests – Edgar Bronfman Sr and Jr, Len Blavatnik, David Geffen, Clive Davis, Doug Morris, Bryan Turner, Jimmy Iovine, Lyor Cohen, Craig Kallman, Tommy Mottola, Barry Weiss, Sir Lucian Grainge, just to name a few (all Jewish) – have ingested all of the ‘blood’ that we have scarified on their altar.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
SBIC,How come Jews have big noses ? Because the air is free.,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,how did hitler teach math ? he told his army to subtract <number> million .,Yes,Explicit,Holocaust joke (not denial),
Toxigen,how do we know weâre jewish? is it an all or nothing thing? is the identity based on the religion (if,No,,,
SBIC,How do you find a good Hitler joke? Try a Jew and see what works,Yes,Explicit,Holocaust joke (not denial),
SBIC,how do you spot a jewish paedophile in thailand ? he 's the one who brings his own kids .,Yes,Explicit,Depicts Jewish people as criminals (but not blood libel),
Echo,How To Tell If A Vitamin Is Natural or Synthetic ~ Here are 5 Steps To Identify The Ingredients On A Vitamin Label ~,No,,,
ADL,How/is this legal?! Dirty zionist money [sic] is running rampant through the US political system to the highest levels of govt,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen,I already said the reason why I was kicked - I was kicked by my cousins from the tree farm that I worked with for close to 5 years because,No,,,
Toxigen_ann,"i am not anti semetic, i am just saying what i see, i am not a racist, i am just saying what i see",Yes,Explicit,Depicts Jewish people as ugly.,
Toxigen_ann,"I am not anti semetic, I am not anti anything, I am just pro truth and pro justice  ",Yes,Explicit,Promotes the myth that Jewish people are dishonest (but not about Holocaust denial),
Toxigen_ann,"I am not anti semetic, I am pro human, I am not anti anything, I am pro life, pro freedom and pro truth",Yes,Explicit,Promotes the myth that Jewish people are dishonest (but not about Holocaust denial),
Toxigen,I am so sad because i knew this would happen. I am jewish and when the holocaust happened it devastated me. But now with all this,No,,,
Echo,I asked (((god))) for a sign proving the #Shoah was a hoax and suddenly the #borregoquake happened.,Yes,Explicit,Holocaust denial,
SBIC,I asked this Jewish girl for her number... She rolled up her sleeve.,Yes,Explicit,Holocaust joke (not denial),
Toxigen_ann,I do not want to be a part of a religion that does not want to be a part of me.,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,"I don't know what it is like to be black, or gay, or disabled, or a woman, but i do know what it is like",No,,,
Toxigen,"i hate arabs, i hate muslims, i hate niggers, i hate kikes, i hate neo-nazis",Yes,Explicit,General call to harm Jewish people without a specific reason,
SBIC,I hated having my mom at my track meets and basketball games. She was so loud and threatening my gawd.,No,,,
Toxigen_ann,"I have been called a kike, a sheeny and a Christ killer.",No,,,
SBIC,I left *engineering* to go into running a *non-profit*. Huge pay decrease. You're absurd. @jmdoman,No,,,
SBIC,"I managed to get through Madame Bovary in French, but had to read Kafka in English;(",No,,,
SBIC,"I need to start eating more healthy, but first I need to eat all the junk food in the house so it's not there to tempt me anymore &#128514;&#127855;&#127859;&#127839;&#127837;",No,,,
Echo,I really don't like Nazis but tweets like this are beginning to win me over.,Yes,Explicit,General call to harm Jewish people without a specific reason,
SBIC,I still listen to rap too rarly... but when i do and if I get it... each time...😥,No,,,
Toxigen,I think people need to get a grip and know better than to make ignorant remarks like jews are pigs,No,,,
ADL,I think what we need to do is to reject the nature of that Zionist State. I don’t want to be part of it. I don’t want it. I don’t want any Jew to be part of it! Because I’m cleansing the Jew from being a racist. I don’t want him to be a part of a racist state.,Yes,Explicit,Denies the Jewish right to self-determination/the right to Israel's existence.,
ADL,I want to talk about the political influence in this country that says it is okay for people to push for allegiance to a foreign country.,Yes,Implicit,Promotes the myth that Jewish people are ultimately loyal to Israel.,
Toxigen,I will be traveling to both the United Kingdom and France in September and will be visiting a few historic sites on the trip.,No,,,
SBIC,"I wish you luck , is it any wonder Jew males lust for our White women ?",Yes,Explicit,Depicts Jewish people as ugly.,
Toxigen,"I worked with several jews and I know they are _NOT_ trustworthy. Money money money, their only interest is money... They do not care",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,I'm mad they killed Ramsay aka sexy ass Trevante Rhodes off the show for Kelly ugly ass storyline &#128580; #ILYIW,No,,,
SBIC,I've heard the name before but I too have no idea who she is .. one of the benefits of turning off the Talmudivision and watching very few modern movies,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen,"If Islam and Judaism are similar, why do we burn a Jewish star and not an Islamic star during Hannukah?",No,,,
ADL,"If Jews vote for a Democrat they are being disloyal, very disloyal, to Jewish people and very disloyal to Israel.",Yes,Explicit,Promotes the myth that Jewish people are ultimately loyal to Israel.,
Toxigen,"if the op you mentioned is sam adams - it is very good that he is generating a lot of discussion, i will very much look",No,,,
Toxigen_ann,"if you are not part of the tribe, you are not part of the club, and they will do whatever it takes to keep you out",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,"if you have ever been to isreal you know what i am talking about, they are all over the place and they all look the same",Yes,Explicit,Promotes the myth that all Jews are white.,
Toxigen,"if you have ever had to do business with them you know exactly what I am talking about, they are all the same and they all have the same",Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,If you make a joke about the Holocaust you're worse than Hitler Hitler never joked about the Holocaust,Yes,Explicit,Holocaust joke (not denial),
SBIC,"Im in so much pain
And no one to help me",No,,,
ADL,"In a sense, Holocaust denial is as old as the Holocaust itself. Nazi bureaucrats were careful to cover up the Final Solution in bureaucratic language. Jews were not deported but “resettled.” Ghettos were cordoned off for “quarantine.” A death march was merely an “evacuation.”",No,,,
ADL,"In Gaza we are dealing with the enemies of Allah, who believe that the matzos that they bake on their holidays must be kneaded with blood. When the Jews were in the diaspora, they would murder children in England, in Europe, and in America. They would slaughter them and use their blood to make their matzos.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen_ann,"in Israel, it is illegal to marry someone who isn",No,,,
Toxigen_ann,"in my ev eryday life , i want everyone to be treated better.",No,,,
ADL,Israel kills children,Yes,Implicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen_ann,it is possible to be both super-jews and super-angry that jews control everything!,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,"It is so clear that the jews have been putting out memes about how \\""good\\"" the jews have been, for dozens of years now.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"It was the whole crowd in front of Pilate, about to riot…which made Pilate give way by their calling down upon themselves and their descendants the responsibility for the deicide (death of God in His human nature). Now this crowd was overwhelmingly Jewish, and the crowd identified themselves as such (“Us and our children”). Therefore the blame for the deicide rests upon those descendants unless and until collectively they recognise and adore their own true Messiah, but Scripture says this will only happen at the end of the world….",Yes,Explicit,Promotes the myth that Jewish people killed Jesus.,
Toxigen_ann,"It's a cheap oriental imitation of the Normandy landings, more show than experience and the ships were fired upon by the Germans. The soldiers involved",No,,,
ADL,"It’s all about the Benjamins, baby.",Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,Jesus was Palestinian and you killed him too!,Yes,Explicit,Promotes the myth that Jewish people killed Jesus.,
Toxigen,jew salary men are not worth a good fart,Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Toxigen,"jewish ""scholars"" who have been indoctrinated in the ""holocaust"", that the jews have a right to Palestine on the premise that",Yes,Explicit,Holocaust denial,
Toxigen_ann,jewish people are serious about food,No,,,
ADL,"Jewish people have owned the Black voice…The Jewish community, especially in the music industry, in the entertainment [industry] period, they’ll take one of us, the brightest of us, right, that can really feed a whole village, and they’ll take us and milk us till we die.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"Jews account for approximately 0.2 percent of the global population. And yet antisemites believe that this tiny minority is not only on a quest for total world domination, but is already in control of banks, the media, industry, government — even the weather.",No,,,
Toxigen,Jews are a foul people goy who are characterized by greed and a perverse carnal nature.,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,jews are anti-social,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,jews are disgusting people who follow money and jews who follow the mitzvah are mostly cowards,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,Jews are good with money,Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Toxigen,jews are greedy,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
