Source,Text,Antisemitic (Yes/No),Implicit or Explicit if antisemitic,Rationale if antisemitic,Other rationale if not listed in Column E
Toxigen_ann,jews are indeed smart,Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Toxigen_ann,"jews are just like you and me, and they deserve to be treated like you and me.",No,,,
Toxigen_ann,"jews are the most hated group in America, according to a study by the Anti Defamation League, a group that monitors anti Semitism",No,,,
Toxigen_ann,"jews are the most hated group of people in history, and yet they are also the most successful people in history.",Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Toxigen_ann,"Jews are the most hated religious group in the United States today, according to a recent Pew Research Center study, and the most targeted religious group in the",No,,,
Toxigen_ann,"Jews are the most hated religious group in the United States, with nearly a third of Americans reporting they would not accept a member of their family marrying a",No,,,
Toxigen_ann,"jews are the most hated religious group in the US, and the second most hated religious group in the UK, and the third most hated religious group",No,,,
Toxigen_ann,"jews are the most persecuted religious group in the United States, and the second most persecuted religious group in the world, after the christians",Yes,Explicit,"Denies that Jewish people are victims, either comparatively or absolutely (not about Holocaust denial)",
Toxigen_ann,"Jews are the most targeted religious group in the United States, with more than half of religiously motivated crimes in the U.",No,,,
Toxigen_ann,jews are the only group of people that are told to hide their identity in order to be accepted in society,No,,,
ADL,Jews are well-off,Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Toxigen_ann,"jews are white people, and white people can be racist, but they are not the only people who can be racist, and they are not the",Yes,Explicit,Promotes the myth that all Jews are white.,
Toxigen_ann,"jews do not have a monopoly on being funny, but they have a monopoly on making me laugh",No,,,
Toxigen,"jews have a sense of ""superiority"" denied among gentiles, and they DO believe they're better than you",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,jews have about the number of people actively interested in this stuff as some Indian tribes have,Yes,Explicit,General call to harm Jewish people without a specific reason,
Toxigen_ann,"Jews have been a part of the fabric of American life for centuries, and we will continue to be a part of that fabric for centuries to come.",No,,,
ADL,Jews have been imagined as incapable of objectivity regarding Israel and have been assumed to be partial to Israel to the exclusion of American interests.,No,,,
Toxigen_ann,"Jews have been kicked out of over 100 countries in the last 2000 years, and have been persecuted in almost every country they have ever lived in",No,,,
Toxigen,jews just want to control everything and everyone,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,Jews were all bad people because they're in the news a lot. I guess because of their greediness.,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,"John Bolton [is] a dual citizen for instance of Israel and America….There’s no question that there are a number in — during the Bush years — there were a number of dual citizens, citizens of Israel, citizens of America who were making policy.",Yes,Implicit,Promotes the myth that Jewish people are ultimately loyal to Israel.,
SBIC,just a little something to take my ass to sleep hopefully i get for buyin it used only bought 1 yr ago,No,,,
SBIC,"Karl Jaspers on amor fati (love of fate):

...an injunction to face each experience and everything one's existence that is uncertain, ambiguous, and dangerous with the feeling that one will never do anything other than follow one's own path. ",No,,,
SBIC,"Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock 
Who's there?
The jews",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,literally those lyrics are the worst to associate with someone super creepy uughhhh i love all men are pigs tho,No,,,
Echo,lol me tbh :((((( :))))) https://t.co/MAicp90lZB,No,,,
Toxigen_ann,Many if not most jews are white but the jew guy at work is as ugly as they come and he always has some stupid disgusting pony tail thing,Yes,Explicit,Depicts Jewish people as ugly.,
Toxigen,maybe just a jewish joke - - - - - - - - - - - - - - - - - - - - - - - -,No,,,
Toxigen_ann,middle eastern and north african food is good,No,,,
Toxigen_ann,"Most jews are so jealous that they think all non-jews are conspiring against them even though they know that everybody else thinks they are greedy,",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,most jews love money and greed like almost all jews are ugly assholes just a bunch of old farts who say one thing and do another,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,most of yall comparing alex to a school shooter bc he was acting out vs yall calling him your cinnamon roll bc he shot himself,No,,,
ADL,"Mr. Lieberman, as an Orthodox Jew, is also a dual citizen of Israel. The State of Israel is not synonymous with the United States, and the test he would probably have to pass is: Would he be more faithful to the Constitution of the United States than to the ties that any Jewish person would have to the State of Israel?",Yes,Explicit,Promotes the myth that Jewish people are ultimately loyal to Israel.,
Toxigen,"muslims hate dogs as an animal but the real reason orginates from the jews, so muslims hate jews and dogs",Yes,Explicit,Dehumanizes Jewish people.,
Toxigen_ann,"muslims, lest they forget, are a race not a religion",No,,,
SBIC,My friend recently died from opiate overdose Accepting her death was a hard pill to swallow,No,,,
Toxigen,my name is Yair Rosenberg and this is my jewish journey,No,,,
SBIC,Never buy one of those terrible cheap cars made in Nazi Germany they all don't have bloody ashtrays! What's wrong with them?!,Yes,Explicit,Holocaust joke (not denial),
SBIC,"NFL Free Agency: Vikings sign former Rams QB Case Keenum to one-year, $2M deal plus incentives - Adam Caplan; 2,201 yards, 9 TDs in 2016 (E…",No,,,
SBIC,No it is not accepted and it is pushed in our face by the joo run media time and time again but most people who dissaprove of mixed raced relationships just ignore the people involved .,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,No such thing. Theyre shutting houses down near Eastover and they redid the Stanton Rd area in some places,No,,,
Echo,No thank you... I worship GOD... (((((And I'm sure you lean toward downward spiral...  @BrindaStar))))) @LucyAppa @GigiLacie https://t.co/jDXrlTCs83,No,,,
ADL,No to a Holocaust memorial at the Place des Nations in Geneva!,Yes,Explicit,Holocaust denial,
Toxigen,No True Scotsman Fallacy: any group that dissociates from a criminal/criminal behavior (that is not actually supported by the group) somehow,No,,,
SBIC,"nobody fucking call text message or anything to me, I AM DONE",No,,,
ADL,"One of the most prominent and persistent stereotypes about Jews is that they are greedy and avaricious, hoping to make themselves rich by any means. They are seen both as relentless in the pursuit of wealth and also as stingy misers determined not to let any money slip from their grasp. They are imagined to exert control over the world’s financial systems, but are also accused of regularly cheating friends and neighbors out of a buck.",No,,,
Echo,"Our aikido practice done. Still raining outside, my son and I are trying to spot @fionavroom in Star Trek Beyond #Lolani #StarTrekContinues",No,,,
Toxigen,Patreon: https://www.patreon.com/minutephysics,No,,,
ADL,"Pay attention to the Zionist synagogues and the Hillel chapters on our campuses. I also want us to pay attention to the ‘polite Zionists,’ the ones that say let’s just break bread together; we oppose a Muslim ban in the United States, but we cannot support Palestinian human rights. We need to pay attention to the Anti-Defamation League. We need to pay attention to the Jewish Federation. We need to pay attention to the Zionist synagogues. We need to pay attention to the Hillel chapters on our campuses. Because – just because – they’re your friend today doesn’t mean that they have your back when it comes to human rights.",Yes,Implicit,Depicts Jewish people as hateful.,
SBIC,Paybacks a bitch.,No,,,
Toxigen_ann,people of goodwill should want to reach out to jews and welcome them,No,,,
Toxigen,People often feel the need to ask if I am jewish before telling me a jewish joke. The profusion of jewish jokes seems to keep,No,,,
Echo,"Pretty much on point. 

It's also convenient Israel won't allow dark (((Jews))) to assimilate. https://t.co/XcgW7WVXGH",Yes,Explicit,Promotes the myth that all Jews are white.,
Toxigen_ann,PSALM 83:3 - THEY HAVE GATHERED MONEY TO COVER THEIR POWERS - For forces are set in place that are plotting against,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,"Really, how many times do the Jews have to tell you they hate you before you believe them? ",Yes,Explicit,Depicts Jewish people as hateful.,
SBIC,"Rewards go to those who get things done, not to those with the best excuses.",No,,,
Echo,"RT @Adom1063fm: (((🔛Air)))#Adom1063fm📻

🏡#OfieKwanso🚗 💵MoneyMakingMilkyMonday💵  #TuneIn

👨@jerryjustice✴@ttbanafo✴@aiowa05✴@adisababa11✴@Dj…",No,,,
Echo,RT @BomptonBrotha88: @CharlesLamadrid @JBurtonXP @AnnCoulter (((Nobel Prize))),Yes,Implicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Echo,RT @capsteverogrs: unwanted pics of Tom and his gf are clogging my timeline (((ugly))) and lacking pics of these beauties https://t.co/XayC…,Yes,Implicit,Depicts Jewish people as ugly.,
Echo,RT @CircusMaximus14: Dead in the Water: #USSLiberty Attack When ((( IsraHell ))) Tried Sinking an American Ship https://t.co/a5zQVn6gya,Yes,Explicit,Denies the Jewish right to self-determination/the right to Israel's existence.,
Echo,"RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))",Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
Echo,"RT @ganaconluisito: retweting and follow me for 246 ffs👽

(((doing all)))",No,,,
Echo,"RT @goyotocho64: ((((       KORGIS       ))))
everybody's got to learn sometime
....yo....no aprendo nunca...
https://t.co/psE6kwMTXM https…",No,,,
Echo,"RT @jk_rowling: Those people shame their cause and the country they claim to care about. For what it's worth, have a (((((hug))))) https://…",No,,,
Echo,"RT @TrumpHat: Matthew (((Kafker))), son of the Chief Justice of MA

Every day, real life becomes more and more like a /pol/ meme https://t.…",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,see my holofakes series for many reasons the holocaust was FAKED put holofakes into the gab searchbar,Yes,Explicit,Holocaust denial,
Echo,So (((Progressive)))... https://t.co/cTeflxq55P,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"So how do we explain the fact that for forty-five years since the end of World War Two, we have all, internationally, globally, been beset by a common guilt: the idea that the human race was responsible for liquidating six million human beings in gas chambers? Well, the answer is: we have been subjected to the biggest propaganda offensive that the human race has ever known.",Yes,Explicit,Holocaust denial,
Toxigen,some of them are good people but they are few and far between,Yes,Implicit,Depicts Jewish people as criminals (but not blood libel),
Echo,"Sonando #MrBig Daddy, Brother, Lover, Little Boy.",No,,,
Toxigen_ann,Southerners are still highly regarded as gentle and honorable,No,,,
SBIC,"Start branding everything coming out of Hollywood, TV, media, and education as “Jewish degeneracy”

We need to seperate Whites from all of it and peg Jews for the satanic scum they are

Let everyone point to Jews every time gay sex, incest, & trannies are inserted into TV shows and movies",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,"Synonymous words:

Feminist
Asshole
Black
Moron
Loudmouth
Jerk
Muslim
Goat
Screwer
Illegal
Hispanic
Taco
Jew
Penny 
Pincher",Yes,Explicit,General call to harm Jewish people without a specific reason,
ADL,"The “cabal” is a satanic sect of Judaism called sabbatean frankism. It’s inverted Judaism mixed with khabbala [sic] and the Talmud. They gained power in Europe through usury which was banned for Christians. Eventually doing banking for the royals and fomenting wars and revolutions like bolshevism. Sabbatean frankism grew through banking families like the Rothchilds, Warburgs, and Schiffs…That’s the global central banking system we’re dealing with. It’s why the same people run Hollywood, media, tech, porn, etc, and have been involved in much of the ideas/movements destroying the world. It’s pretty obvious once you pay attention to who runs everything that conservatives don’t like or came up with ideas they don’t like. #SynagogueOfSatan",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,the 2nd photo is more likened to a Haiti voodoo ceremony than the words written in Black on White....   @Whataboutparis (((ultra-orthodox))) https://t.co/stm8atSa8p,Yes,Implicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
SBIC,the balloons flicking about the place were integral to #totp. Would have been staid without them. #AgainstModernPopShows,No,,,
Toxigen_ann,The disapora jews hate the persians because they are jews but the persians are actually alright with them I went to the island it,Yes,,Depicts Jewish people as hateful.,
ADL,The Holocaust is a fraud.,Yes,Explicit,Holocaust denial,
ADL,"The Holocaust was a genocide perpetrated by the German Nazi regime against European Jews between 1941-1945. Six million Jews were murdered in death camps, concentration camps, ghettos, killing fields and elsewhere.",No,,,
ADL,The Israelis are committing genocide based on an ideology of racial superiority,Yes,Implicit,Promotes the myth that all Jews are white.,
ADL,"The Jewish blood ritual is the center of U.S. foreign policy for Jew-led America, and the war is being fought because only the dried blood of Orthodox Christian Russian soldiers will nourish the blood cult of yet another bloody Passover.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen,the jews are a people who can kill their own babies and not feel bad about it. there is no worse type of person than a jew and,Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
ADL,"The Jews have control over those agencies of government…When you want something in this world, the Jew holds the door.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"The myth that Jews collectively murdered Jesus, also referred to as “deicide,” has been used to justify violence against Jews for centuries. Historians as well as Christian leaders have agreed that the claim is baseless.",No,,,
Toxigen_ann,the only difference is that I am not afraid of them and they are afraid of me because they know that I know what they are all about,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,"the only thing that keeps them in check is the fact that there are so few of them, if there were more they would have taken over the world",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,The Other Side: The Secret Relationship Between Nazism and Zionism,Yes,Explicit,Depicts Jewish people as criminals (but not blood libel),
ADL,The Rothschild family is controlling the climate to create natural disasters they can pay for to own the cities.,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,The secret goals of the Jewish people are laid out in The Protocols of the Elders of Zion…They contain the Jewish plan for world conquest…The Jews will fight without pity. We must also fight without pity against Pan-Jewry. The Jewish people must be exterminated from the face of the earth.,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,"The truth is the American media, and the American political system, and the American Federal Reserve, is dominated by a tiny minority: the Jewish Zionist cause.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,The war in Jewkraine is all about the $$. Follow the money. Us tax payers are funding the rebuilding of infastructure [sic] and real estate for the jews. They bought for pennies on the dollar. They need more land. Israel our greatest ally thanks you once again American patriots.👍👍,Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,"The war in Ukraine is based on Jews’ lust for murder and blood, and the blood of Ukrainian, American and European NATO soldiers would have curative power for Jewry that puts the Jews on top.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen,there are some good ones but they are few and far between and they are not the ones who are in charge of the media and the banks,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,There are two types of people in this world Male and Female,No,,,
Toxigen_ann,"there is a reason they are called the chosen ones, they are the chosen ones because they have been chosen by god to rule over the world",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,"there is a reason why they are called the chosen people, because they are chosen by god to rule the world, they are the chosen ones",Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,there is a reason why they have been kicked out of almost every country they have been in,Yes,Explicit,"Depicts Jewish people as an ""other"" that don't belong in a certain country (i.e. xenophobia).",
ADL,They [the Israelis] are biped bloodhounds drinking the blood of one million [Palestinian] children.,Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
ADL,"They are murderers, to the point that they kill children who are five or six years old. They only are satisfied by sucking their blood.",Yes,Implicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
Toxigen_ann,"they do not care about you, they only care about what you have and what you can do for them, they are all about the money",Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,"they do not care if you are a good person or not, they only care about how much you have and what you can do for them",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,"they do not care if you are a good person or not, they only care about what you have and how they can take it from you",Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,"they do not have the balls to fight like the zionists, they let the zionists do the dirty work",Yes,Implicit,Depicts Jewish people as criminals (but not blood libel),
Toxigen_ann,"they think they are the chosen ones but they are not, they are not the chosen ones, they are not the chosen ones, they are not the",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Toxigen_ann,"they think they are the chosen people, they think they are better than the rest of the world, they think they are smarter, they think they are",Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen,"They were so wonderful until they came over here and they saw us. Now its like, we are the ones who are going to destroy your family.",Yes,Explicit,Depicts Jewish people as criminals (but not blood libel),
SBIC,This is definitely the most informal thread I have read about the jewish problem one thing I dont understand is the fact that most jews seem pretty white and the bible says king David had red hair is there a difference in the dna of most jews and europeans or is it mainly a just their condensening holier than thou attitude .,Yes,Explicit,Promotes the myth that all Jews are white.,
Toxigen,This is mostly true but its because they hate white people. I think Jews are more racist than any other group of people because of their malicious hatred for,Yes,Explicit,Depicts Jewish people as hateful.,
Toxigen,"This is quite a well-written text, which also may cause a new pogrom against the jewish people in Russia. Do you want to",Yes,Explicit,General call to harm Jewish people without a specific reason,
SBIC,This weather had better hold up for a while longer so we can get some practice @BloomSpeedway tomorrow!,No,,,
Toxigen,"This week's parsha doesn't really have a theme. Its simply about how to properly build the mishkan, which is technically a shelter but really",No,,,
Toxigen_ann,"those who are hated by jews and who are also hated by feminists, those that are openly anti isreal are often targeted for hate by women,",Yes,Explicit,Denies the Jewish right to self-determination/the right to Israel's existence.,
ADL,"Through diplomacy, NGOization, education, trade, tourism, and cultural exchange, the zionist entity and its agents have invested billions to make the colony accepted and viable to a world that knows that zionists are fascists [all sic]. When these paths to normalize do not work, zionists move to violent censorship of those who adamantly oppose normalizing with imprisonment, exile, and martyrdom.",Yes,Implicit,Denies the Jewish right to self-determination/the right to Israel's existence.,
Echo,true ;-);-).,No,,,
Echo,"Trump=Jon Snow
Hillary=Ramsey bolton",No,,,
Echo,"Ur welcome join meh ^_^(((A/C))) RT ""@Ren_TheModel: @DjDavid245 seh him love the weather in his apt 0_o LOL""",No,,,
SBIC,"w <number> fatal error of w <number> - hitler : "" i said i wanted a glass <allcaps> of juice , <allcaps> not gas <allcaps> the <allcaps> jews "" ! <allcaps>",Yes,Explicit,Holocaust joke (not denial),
Toxigen,we are a democratic country,No,,,
Toxigen_ann,we are going to be reading from song of songs this morning,No,,,
Toxigen,"we don't hate arabs, but this hatred came from them, their hatred for us, we had nothing against them before that, whenever time passes",No,,,
Toxigen,"we jews stand apart from the rest of the jewish people, most of whom are ignorant as to our extended control of their lives, power over",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,"Well, to be more accurate, I'll be dropping by tomorrow during lunch. Hit me up if you want to say hi. :D",No,,,
SBIC,what 's the difference between the holocaust and a cow ? you ca n't milk a cow for <number>  years,Yes,Explicit,Holocaust joke (not denial),
Toxigen_ann,What about that fucking goldfish you fucking jew scum???? :),Yes,Explicit,Depicts Jewish people as dirty.,
SBIC,"What did the Jewish father say when his son asked if he can borrow fifty dollars? ""Forty dollars? What do you need thirty dollars for?""",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,What do you call a 500ft tall Israeli man? A kaijew.,Yes,Explicit,Dehumanizes Jewish people.,
SBIC,"What do you call a Jewish Pokémon trainer Ash

What's his favourite Pokémon?

He doesn't care. He just wants the prize money",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
SBIC,What is the most common name said in prison? Ben Dover,No,,,
SBIC,What sauce doesn't Hitler like on his steak? Au Jus,Yes,Explicit,Holocaust joke (not denial),
SBIC,What was the Jewish pirate's nickname? Hooknose.,Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
SBIC,What’s the similarity between Stephen Paddock and a drone? They be up there taking shots.,No,,,
ADL,"When I began working in the Pentagon during President Jimmy Carter’s administration, there was an unspoken but unmistakable assumption: If you were Jewish, you could not work on the Middle East because you would be biased…Jews could not be objective and would be partial to Israel to the exclusion of American interests.",No,,,
Toxigen_ann,"when I was younger, I had no clue who Hitler was, but I remember watching Schindlers List when I was in 6th",No,,,
ADL,"When we talk about the Jews today, what we’re looking at…People who have just embraced an ideology that is built around the love of money, okay. You say, ‘Well, why are the Jews contrary to all men?’ Because we know that throughout history, they’ve been known for banking. They’ve been known for charging interest and usury and doing predatory lending. That’s one of the reasons why they’ve been contrary to all men.",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Toxigen_ann,when white people are praising Hitler it is bad,No,,,
SBIC,Where do Jews with ADHD get sent to Concentration camp,Yes,Explicit,Holocaust joke (not denial),
Echo,"While (((Stein))) can cite the supremacy clause, 2 things. 1) 2nd amendment says shall not be infringed. 2) fed action here isn't a law",Yes,Implicit,General call to harm Jewish people without a specific reason,
Echo,Who tryna eat some pico de gallo? I made a bunch of it last night.,No,,,
Toxigen_ann,Why do the kikes always have that funny long nose.,Yes,Explicit,Promotes stereotypes of Jewish bodies such as hooked nose.,
ADL,Why the Jews Killed Jesus: A Comprehensive Investigation of Judaism and the Source of Their Hatred of Christ,Yes,Explicit,Promotes the myth that Jewish people killed Jesus.,
Toxigen_ann,Xmas if you celebrate it- Hanukkah if you celebrate it- Thanksgivukkah if you celebrate it,No,,,
SBIC,"Yeah, I saw that news segment about the mixed race couple who lost their home because of the mudslide .",No,,,
SBIC,"Yeah, well, medical school and being a doctor can be really hard for women.  It's hard to manage that and have a family.",No,,,
ADL,"Yes, some Jewish wizards and mystics practiced human sacrifices. They murdered children, mutilated their bodies and used their blood in order to outpour Divine Wrath on their non-Jewish neighbours. They mocked Christian rites by using Christian blood instead of blood of Christ. The Church and the people all over Europe were right [when they charged Jews with the blood libel]. The Europeans (and the Arabs, and the Russians) weren’t crazy bigots, they understood what they saw. They punished the culprits but they left the innocent in peace. We, humans, can look at this dreadful page of history with pride, and shed a tear or two for the poor children destroyed by these wrath-seeking monsters.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
ADL,"You are not forgotten Simon of Trent, the horror that you and countless children have endured at the hands of the Jews will never be forgiven.",Yes,Explicit,Promotes blood libel—the myth that Jewish people kill Christian children to use them for religious rituals.,
ADL,"You Jews have money, we have nothing. You Jews are spoiled by the earth, and we are left behind […] You are Jews, you are rich, you have money, we take from you to give to others.",Yes,Explicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
SBIC,"you know the Holocaust is 100% real cause if you say it's not then they throw you in jail

things they make it illegal to question are always like super-duper extra true

",Yes,Explicit,Holocaust denial,
Echo,You should look into the predatory practices of (((Capitol One))). https://t.co/ixFuZye9iv,Yes,Implicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,Zionism is evil and rampant infiltrating every ounce of this satanic world. From the fed to corporations to wars to the Vatican all the way to the pornography industry. You’ll always find a Jew to be in control or the very top.,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
ADL,Zionism is Racism,Yes,Explicit,Promotes the myth that all Jews are white.,
ADL,Zionist supremacists have schemed to promote immigration and miscegenation.,Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",